Protein IDs,Protein names,Gene names,Fasta headers,Proteins,copy number per cell sample  1,copy number per cell sample  2,copy number per cell sample  3,Average copy number
P0A6P9,Enolase,eno,>sp|P0A6P9|ENO_ECOLI Enolase OS=Escherichia coli (strain K12) GN=eno PE=1 SV=2,1,6874.577452,4562.413706,5068.635656,5501.875605
P15047,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",entA,">sp|P15047|ENTA_ECOLI 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase OS=Escherichia coli (strain K12) GN=entA PE=1 SV=1",1,11.55563155,0,0.889540729,4.148390759
P0ADI4,Isochorismatase,entB,>sp|P0ADI4|ENTB_ECOLI Isochorismatase OS=Escherichia coli (strain K12) GN=entB PE=1 SV=1,1,3.783791293,0.950149005,0,1.577980099
P10378,"Enterobactin synthase component E;2,3-dihydroxybenzoate-AMP ligase;S-dihydroxybenzoyltransferase",entE,>sp|P10378|ENTE_ECOLI Enterobactin synthase component E OS=Escherichia coli (strain K12) GN=entE PE=3 SV=3,1,4.240883087,4.008694461,5.366338446,4.538638665
P11454,Enterobactin synthase component F,entF,>sp|P11454|ENTF_ECOLI Enterobactin synthase component F OS=Escherichia coli (strain K12) GN=entF PE=1 SV=3,1,4.529931633,4.300128268,2.287677036,3.705912313
P37690,Murein hydrolase activator EnvC,envC,>sp|P37690|ENVC_ECOLI Murein hydrolase activator EnvC OS=Escherichia coli (strain K12) GN=envC PE=1 SV=2,1,30.00164742,28.85474687,28.12293865,28.99311098
P0AEJ4,Osmolarity sensor protein EnvZ,envZ,>sp|P0AEJ4|ENVZ_ECOLI Osmolarity sensor protein EnvZ OS=Escherichia coli (strain K12) GN=envZ PE=1 SV=1,1,8.031262987,5.700043626,7.779495977,7.17026753
P0A9B6,D-erythrose-4-phosphate dehydrogenase,epd,>sp|P0A9B6|E4PD_ECOLI D-erythrose-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=epd PE=1 SV=2,1,68.78247248,61.31411797,71.97340486,67.3566651
P30845,Phosphoethanolamine transferase eptA,eptA,>sp|P30845|EPTA_ECOLI Phosphoethanolamine transferase eptA OS=Escherichia coli (strain K12) GN=eptA PE=1 SV=2,1,8.95165857,6.621516898,10.87223595,8.815137141
P06616,GTPase Era,era,>sp|P06616|ERA_ECOLI GTPase Era OS=Escherichia coli (strain K12) GN=era PE=1 SV=2,1,36.8496796,19.58240589,26.29243228,27.57483926
P39176,"Probable L,D-transpeptidase ErfK/SrfK",erfK,">sp|P39176|ERFK_ECOLI Probable L,D-transpeptidase ErfK/SrfK OS=Escherichia coli (strain K12) GN=erfK PE=1 SV=2",1,14.52305518,6.235720705,8.965796396,9.90819076
P0ACC3,Iron-sulfur cluster insertion protein erpA,erpA,>sp|P0ACC3|ERPA_ECOLI Iron-sulfur cluster insertion protein erpA OS=Escherichia coli (strain K12) GN=erpA PE=1 SV=1,1,39.06925399,26.79306677,30.02864475,31.96365517
P38134,Tyrosine-protein kinase etk,etk,>sp|P38134|ETK_ECOLI Tyrosine-protein kinase etk OS=Escherichia coli (strain K12) GN=etk PE=1 SV=2,1,39.12576532,21.49714552,19.40775941,26.67689009
P0AEJ6,Ethanolamine ammonia-lyase heavy chain,eutB,>sp|P0AEJ6|EUTB_ECOLI Ethanolamine ammonia-lyase heavy chain OS=Escherichia coli (strain K12) GN=eutB PE=1 SV=1,1,9.979360207,6.457088183,10.01224512,8.816231171
P19636,Ethanolamine ammonia-lyase light chain,eutC,>sp|P19636|EUTC_ECOLI Ethanolamine ammonia-lyase light chain OS=Escherichia coli (strain K12) GN=eutC PE=1 SV=2,1,4.192083313,2.922044591,5.732492267,4.282206724
P76541,Ethanolamine utilization protein EutL,eutL,>sp|P76541|EUTL_ECOLI Ethanolamine utilization protein EutL OS=Escherichia coli (strain K12) GN=eutL PE=1 SV=1,1,16.72460727,11.49349605,13.36989994,13.86266775
P0ABF4,Ethanolamine utilization protein EutM,eutM,>sp|P0ABF4|EUTM_ECOLI Ethanolamine utilization protein EutM OS=Escherichia coli (strain K12) GN=eutM PE=1 SV=1,1,48.86108398,83.38002529,18.36663536,50.20258154
P0ACZ4,Positive transcription regulator evgA,evgA,>sp|P0ACZ4|EVGA_ECOLI Positive transcription regulator evgA OS=Escherichia coli (strain K12) GN=evgA PE=1 SV=1,1,22.79825308,31.06972647,39.43060029,31.09952662
P0ABU7,Biopolymer transport protein exbB,exbB,>sp|P0ABU7|EXBB_ECOLI Biopolymer transport protein exbB OS=Escherichia coli (strain K12) GN=exbB PE=1 SV=1,1,13.98799836,2.40868252,10.21726944,8.871316773
P0ABV2,Biopolymer transport protein exbD,exbD,>sp|P0ABV2|EXBD_ECOLI Biopolymer transport protein exbD OS=Escherichia coli (strain K12) GN=exbD PE=1 SV=1,1,0,0,0,0
P0ACL2,Exu regulon transcriptional regulator,exuR,>sp|P0ACL2|EXUR_ECOLI Exu regulon transcriptional regulator OS=Escherichia coli (strain K12) GN=exuR PE=4 SV=1,1,87.2515538,59.23056633,78.33722948,74.9397832
P0AA78,Hexuronate transporter,exuT,>sp|P0AA78|EXUT_ECOLI Hexuronate transporter OS=Escherichia coli (strain K12) GN=exuT PE=1 SV=1,1,17.4187181,8.667026778,8.414601616,11.5001155
P0A6Q3,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,fabA,>sp|P0A6Q3|FABA_ECOLI 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabA PE=1 SV=2,1,1420.498564,1283.85335,1701.887437,1468.74645
P0A953,3-oxoacyl-[acyl-carrier-protein] synthase 1,fabB,>sp|P0A953|FABB_ECOLI 3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Escherichia coli (strain K12) GN=fabB PE=1 SV=1,1,3980.850084,3138.350626,4379.50771,3832.902807
P0AAI9,Malonyl CoA-acyl carrier protein transacylase,fabD,>sp|P0AAI9|FABD_ECOLI Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli (strain K12) GN=fabD PE=1 SV=2,1,1740.026501,1492.43661,1444.515784,1558.992965
P0AAI5,3-oxoacyl-[acyl-carrier-protein] synthase 2,fabF,>sp|P0AAI5|FABF_ECOLI 3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Escherichia coli (strain K12) GN=fabF PE=1 SV=2,1,1125.249806,1010.345453,1127.667227,1087.754162
P0AEK2,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG,>sp|P0AEK2|FABG_ECOLI 3-oxoacyl-[acyl-carrier-protein] reductase FabG OS=Escherichia coli (strain K12) GN=fabG PE=1 SV=1,1,2225.316411,1584.731428,1929.005979,1913.017939
P0A6R0,3-oxoacyl-[acyl-carrier-protein] synthase 3,fabH,>sp|P0A6R0|FABH_ECOLI 3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Escherichia coli (strain K12) GN=fabH PE=1 SV=1,1,475.7853629,262.2809327,296.5874816,344.8845924
P0AEK4,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,fabI,>sp|P0AEK4|FABI_ECOLI Enoyl-[acyl-carrier-protein] reductase [NADH] FabI OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2,1,1947.493581,1840.278717,2561.86281,2116.545036
P0ACU5,HTH-type transcriptional repressor fabR,fabR,>sp|P0ACU5|FABR_ECOLI HTH-type transcriptional repressor fabR OS=Escherichia coli (strain K12) GN=fabR PE=1 SV=1,1,107.4767438,112.6067856,101.4771576,107.1868957
P0A6Q6,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase,fabZ,>sp|P0A6Q6|FABZ_ECOLI (3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabZ PE=1 SV=1,1,1614.438271,1127.569247,1487.19639,1409.734636
P21151,3-ketoacyl-CoA thiolase,fadA,>sp|P21151|FADA_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3,1,22.44533346,11.67986718,23.08005626,19.06841897
P21177,Fatty acid oxidation complex subunit alpha;Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase;3-hydroxyacyl-CoA dehydrogenase,fadB,>sp|P21177|FADB_ECOLI Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadB PE=1 SV=2,1,26.51922388,19.74860386,26.30245053,24.19009276
P69451,Long-chain-fatty-acid--CoA ligase,fadD,>sp|P69451|LCFA_ECOLI Long-chain-fatty-acid--CoA ligase OS=Escherichia coli (strain K12) GN=fadD PE=1 SV=1,1,27.37203349,42.53382417,47.72182321,39.20922695
Q47146,Acyl-coenzyme A dehydrogenase,fadE,>sp|Q47146|FADE_ECOLI Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2,1,4.733249052,5.142358672,3.943828733,4.606478819
P76503,3-ketoacyl-CoA thiolase,fadI,>sp|P76503|FADI_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadI PE=1 SV=1,1,23.3526423,11.34481991,15.43582998,16.7110974
P77399,Fatty acid oxidation complex subunit alpha;Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase;3-hydroxyacyl-CoA dehydrogenase,fadJ,>sp|P77399|FADJ_ECOLI Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadJ PE=1 SV=1,1,11.23667448,5.33141853,6.365488542,7.644527185
P10384,Long-chain fatty acid transport protein,fadL,>sp|P10384|FADL_ECOLI Long-chain fatty acid transport protein OS=Escherichia coli (strain K12) GN=fadL PE=1 SV=5,1,59.45627652,39.16209783,46.77688679,48.46508705
P0A8V6,Fatty acid metabolism regulator protein,fadR,>sp|P0A8V6|FADR_ECOLI Fatty acid metabolism regulator protein OS=Escherichia coli (strain K12) GN=fadR PE=1 SV=2,1,168.675785,146.0100016,223.0322646,179.2393504
P0AB71,Fructose-bisphosphate aldolase class 2,fbaA,>sp|P0AB71|ALF_ECOLI Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) GN=fbaA PE=1 SV=2,1,3442.486703,2410.090877,3263.040363,3038.539314
P0A991,Fructose-bisphosphate aldolase class 1,fbaB,>sp|P0A991|ALF1_ECOLI Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) GN=fbaB PE=1 SV=2,1,251.8714742,244.1867104,284.3014107,260.1198651
P0A993,"Fructose-1,6-bisphosphatase class 1",fbp,">sp|P0A993|F16PA_ECOLI Fructose-1,6-bisphosphatase class 1 OS=Escherichia coli (strain K12) GN=fbp PE=1 SV=1",1,1124.246557,961.4582848,1041.751126,1042.485323
P32055,GDP-L-fucose synthase,fcl,>sp|P32055|FCL_ECOLI GDP-L-fucose synthase OS=Escherichia coli (strain K12) GN=fcl PE=1 SV=2,1,104.3876711,0,96.73128549,67.03965221
P13024,Protein FdhE,fdhE,>sp|P13024|FDHE_ECOLI Protein FdhE OS=Escherichia coli (strain K12) GN=fdhE PE=3 SV=2,1,247.0967614,193.9371229,220.924421,220.6527684
P07658,Formate dehydrogenase H,fdhF,>sp|P07658|FDHF_ECOLI Formate dehydrogenase H OS=Escherichia coli (strain K12) GN=fdhF PE=1 SV=2,1,73.2412363,45.86907729,64.51233375,61.20754911
P24183,"Formate dehydrogenase, nitrate-inducible, major subunit",fdnG,">sp|P24183|FDNG_ECOLI Formate dehydrogenase, nitrate-inducible, major subunit OS=Escherichia coli (strain K12) GN=fdnG PE=1 SV=3",1,157.6077482,144.3501362,132.6059396,144.854608
P0AAJ3,"Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit",fdnH,">sp|P0AAJ3|FDNH_ECOLI Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit OS=Escherichia coli (strain K12) GN=fdnH PE=1 SV=1",1,154.3666525,204.1461082,219.3219978,192.6115862
P0AEK7,"Formate dehydrogenase, nitrate-inducible, cytochrome b556(fdn) subunit",fdnI,">sp|P0AEK7|FDNI_ECOLI Formate dehydrogenase, nitrate-inducible, cytochrome b556(fdn) subunit OS=Escherichia coli (strain K12) GN=fdnI PE=1 SV=1",1,57.22750369,18.32391289,21.36556275,32.30565978
P32176,Formate dehydrogenase-O major subunit,fdoG,>sp|P32176|FDOG_ECOLI Formate dehydrogenase-O major subunit OS=Escherichia coli (strain K12) GN=fdoG PE=1 SV=5,1,785.2575793,557.5250013,614.4082143,652.3969316
P0AAJ5,Formate dehydrogenase-O iron-sulfur subunit,fdoH,>sp|P0AAJ5|FDOH_ECOLI Formate dehydrogenase-O iron-sulfur subunit OS=Escherichia coli (strain K12) GN=fdoH PE=1 SV=1,1,721.6852902,650.076199,730.1272569,700.629582
P0AEL0,"Formate dehydrogenase, cytochrome b556(fdo) subunit",fdoI,">sp|P0AEL0|FDOI_ECOLI Formate dehydrogenase, cytochrome b556(fdo) subunit OS=Escherichia coli (strain K12) GN=fdoI PE=1 SV=1",1,394.8791392,293.3818869,284.5449363,324.2686541
P0A9R4,2Fe-2S ferredoxin,fdx,>sp|P0A9R4|FER_ECOLI 2Fe-2S ferredoxin OS=Escherichia coli (strain K12) GN=fdx PE=1 SV=2,1,40.66622998,28.85325422,58.38568775,42.63505732
P13036,Fe(3+) dicitrate transport protein FecA,fecA,>sp|P13036|FECA_ECOLI Fe(3+) dicitrate transport protein FecA OS=Escherichia coli (strain K12) GN=fecA PE=1 SV=2,1,27.27029936,36.12691682,37.50405999,33.63375872
P15028,Fe(3+) dicitrate-binding periplasmic protein,fecB,>sp|P15028|FECB_ECOLI Fe(3+) dicitrate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fecB PE=3 SV=3,1,37.61423046,37.76697178,40.04321189,38.47480471
P15030,Fe(3+) dicitrate transport system permease protein fecC,fecC,>sp|P15030|FECC_ECOLI Fe(3+) dicitrate transport system permease protein fecC OS=Escherichia coli (strain K12) GN=fecC PE=1 SV=2,1,0.423182091,0,1.643489282,0.688890458
P15029,Fe(3+) dicitrate transport system permease protein fecD,fecD,>sp|P15029|FECD_ECOLI Fe(3+) dicitrate transport system permease protein fecD OS=Escherichia coli (strain K12) GN=fecD PE=1 SV=2,1,0,0,0.822941507,0.274313836
P23484,Probable RNA polymerase sigma factor fecI,fecI,>sp|P23484|FECI_ECOLI Probable RNA polymerase sigma factor fecI OS=Escherichia coli (strain K12) GN=fecI PE=1 SV=3,1,1.708087749,1.308485827,0,1.005524525
P0AEL3,Ferrous iron transport protein A,feoA,>sp|P0AEL3|FEOA_ECOLI Ferrous iron transport protein A OS=Escherichia coli (strain K12) GN=feoA PE=1 SV=1,1,72.23189331,29.67965267,39.27841058,47.06331886
P33650,Ferrous iron transport protein B,feoB,>sp|P33650|FEOB_ECOLI Ferrous iron transport protein B OS=Escherichia coli (strain K12) GN=feoB PE=1 SV=1,1,5.428992967,4.804546642,3.97502867,4.736189426
P05825,Ferrienterobactin receptor,fepA,>sp|P05825|FEPA_ECOLI Ferrienterobactin receptor OS=Escherichia coli (strain K12) GN=fepA PE=1 SV=2,1,3.153287041,3.064858355,3.206578852,3.141574749
P0AEL6,Ferrienterobactin-binding periplasmic protein,fepB,>sp|P0AEL6|FEPB_ECOLI Ferrienterobactin-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fepB PE=1 SV=1,1,12.77325077,8.986529054,3.341455213,8.367078347
P23878,Ferric enterobactin transport ATP-binding protein FepC,fepC,>sp|P23878|FEPC_ECOLI Ferric enterobactin transport ATP-binding protein FepC OS=Escherichia coli (strain K12) GN=fepC PE=3 SV=2,1,4.933141366,3.56630131,3.957241144,4.15222794
P0AGD7,Signal recognition particle protein,ffh,>sp|P0AGD7|SRP54_ECOLI Signal recognition particle protein OS=Escherichia coli (strain K12) GN=ffh PE=1 SV=1,1,359.6022478,319.1019117,333.9794344,337.561198
P19323,Formate hydrogenlyase transcriptional activator,fhlA,>sp|P19323|FHLA_ECOLI Formate hydrogenlyase transcriptional activator OS=Escherichia coli (strain K12) GN=fhlA PE=4 SV=1,1,8.691868941,5.897072655,6.43439415,7.007778582
P06971,Ferrichrome-iron receptor,fhuA,>sp|P06971|FHUA_ECOLI Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2,1,104.5784333,79.39796632,91.32139023,91.76592994
P07821,Iron(3+)-hydroxamate import ATP-binding protein FhuC,fhuC,>sp|P07821|FHUC_ECOLI Iron(3+)-hydroxamate import ATP-binding protein FhuC OS=Escherichia coli (strain K12) GN=fhuC PE=1 SV=3,1,18.49587562,14.50712675,9.089549222,14.03085053
P69380,Ferrous-iron efflux pump FieF,fieF,>sp|P69380|FIEF_ECOLI Ferrous-iron efflux pump FieF OS=Escherichia coli (strain K12) GN=fieF PE=1 SV=1,1,13.48023998,19.00139984,25.3363596,19.27266647
P0A6R3,DNA-binding protein fis,fis,>sp|P0A6R3|FIS_ECOLI DNA-binding protein fis OS=Escherichia coli (strain K12) GN=fis PE=1 SV=1,1,209.87418,192.9235754,215.3517785,206.0498446
P0A9L3,FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase,fklB,>sp|P0A9L3|FKBB_ECOLI FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fklB PE=1 SV=2,1,773.3964857,625.1926216,708.2786314,702.2892463
P45523,FKBP-type peptidyl-prolyl cis-trans isomerase fkpA,fkpA,>sp|P45523|FKBA_ECOLI FKBP-type peptidyl-prolyl cis-trans isomerase fkpA OS=Escherichia coli (strain K12) GN=fkpA PE=1 SV=1,1,656.0038636,827.6528708,862.6342484,782.0969943
P0AEM0,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase,fkpB,>sp|P0AEM0|FKBX_ECOLI FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fkpB PE=1 SV=2,1,1.729097226,0,3.87453941,1.867878879
P61949,Flavodoxin-1,fldA,>sp|P61949|FLAV_ECOLI Flavodoxin-1 OS=Escherichia coli (strain K12) GN=fldA PE=1 SV=2,1,1299.284299,767.2184352,766.484426,944.3290535
P0ABY4,Flavodoxin-2,fldB,>sp|P0ABY4|FLAW_ECOLI Flavodoxin-2 OS=Escherichia coli (strain K12) GN=fldB PE=3 SV=1,1,24.92356836,64.57305471,29.26621502,39.58761269
P0ABX2,Flagellar basal-body rod protein flgC,flgC,>sp|P0ABX2|FLGC_ECOLI Flagellar basal-body rod protein flgC OS=Escherichia coli (strain K12) GN=flgC PE=3 SV=1,1,59.84825363,3.065938937,11.61611773,24.84343677
P75937,Flagellar hook protein flgE,flgE,>sp|P75937|FLGE_ECOLI Flagellar hook protein flgE OS=Escherichia coli (strain K12) GN=flgE PE=3 SV=3,1,59.20161941,31.55481636,57.02360257,49.26001278
P75938,Flagellar basal-body rod protein flgF,flgF,>sp|P75938|FLGF_ECOLI Flagellar basal-body rod protein flgF OS=Escherichia coli (strain K12) GN=flgF PE=3 SV=1,1,1.737949894,0,2.244916277,1.327622057
P0ABX5,Flagellar basal-body rod protein flgG,flgG,>sp|P0ABX5|FLGG_ECOLI Flagellar basal-body rod protein flgG OS=Escherichia coli (strain K12) GN=flgG PE=3 SV=1,1,22.97203318,15.54904937,11.06275347,16.52794534
P0A6S0,Flagellar L-ring protein,flgH,>sp|P0A6S0|FLGH_ECOLI Flagellar L-ring protein OS=Escherichia coli (strain K12) GN=flgH PE=3 SV=1,1,213.1837069,193.0793587,283.2211797,229.8280818
P0A6S3,Flagellar P-ring protein,flgI,>sp|P0A6S3|FLGI_ECOLI Flagellar P-ring protein OS=Escherichia coli (strain K12) GN=flgI PE=3 SV=1,1,66.65715801,33.40210825,51.41288139,50.49071588
P33235,Flagellar hook-associated protein 1,flgK,>sp|P33235|FLGK_ECOLI Flagellar hook-associated protein 1 OS=Escherichia coli (strain K12) GN=flgK PE=3 SV=3,1,3.171220871,4.246085313,32.20495478,13.20742032
P29744,Flagellar hook-associated protein 3,flgL,>sp|P29744|FLGL_ECOLI Flagellar hook-associated protein 3 OS=Escherichia coli (strain K12) GN=flgL PE=1 SV=2,1,193.4166868,113.9009965,146.734089,151.3505907
P0AEM4,Negative regulator of flagellin synthesis,flgM,>sp|P0AEM4|FLGM_ECOLI Negative regulator of flagellin synthesis OS=Escherichia coli (strain K12) GN=flgM PE=1 SV=1,1,128.9907567,73.28784629,125.0252805,109.1012945
P43533,Flagella synthesis protein flgN,flgN,>sp|P43533|FLGN_ECOLI Flagella synthesis protein flgN OS=Escherichia coli (strain K12) GN=flgN PE=3 SV=2,1,6.949247685,11.48599082,15.96987524,11.46837125
P76298,Flagellar biosynthesis protein flhA,flhA,>sp|P76298|FLHA_ECOLI Flagellar biosynthesis protein flhA OS=Escherichia coli (strain K12) GN=flhA PE=1 SV=1,1,15.98724236,20.29255146,22.42209575,19.56729652
P0ABY7,Flagellar transcriptional regulator FlhC,flhC,>sp|P0ABY7|FLHC_ECOLI Flagellar transcriptional regulator FlhC OS=Escherichia coli (strain K12) GN=flhC PE=1 SV=1,1,3.26221488,2.505646501,2.647921723,2.805261035
P0AEM6,RNA polymerase sigma factor for flagellar operon,fliA,>sp|P0AEM6|FLIA_ECOLI RNA polymerase sigma factor for flagellar operon OS=Escherichia coli (strain K12) GN=fliA PE=1 SV=1,1,102.6376233,104.7936311,141.2284523,116.2199022
P04949,Flagellin,fliC,>sp|P04949|FLIC_ECOLI Flagellin OS=Escherichia coli (strain K12) GN=fliC PE=1 SV=2,1,3992.322438,3271.198029,3703.700937,3655.740468
P24216,Flagellar hook-associated protein 2,fliD,>sp|P24216|FLID_ECOLI Flagellar hook-associated protein 2 OS=Escherichia coli (strain K12) GN=fliD PE=1 SV=5,1,80.49275805,63.53610853,70.82232315,71.61706324
P25798,Flagellar M-ring protein,fliF,>sp|P25798|FLIF_ECOLI Flagellar M-ring protein OS=Escherichia coli (strain K12) GN=fliF PE=3 SV=3,1,32.73065169,38.66189335,53.10376254,41.4987692
P0ABZ1,Flagellar motor switch protein FliG,fliG,>sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1,1,118.9214016,106.6862875,100.7236394,108.7771095
P52612,Flagellum-specific ATP synthase,fliI,>sp|P52612|FLII_ECOLI Flagellum-specific ATP synthase OS=Escherichia coli (strain K12) GN=fliI PE=3 SV=2,1,27.86161485,19.20844722,17.62822931,21.56609713
P06974,Flagellar motor switch protein FliM,fliM,>sp|P06974|FLIM_ECOLI Flagellar motor switch protein FliM OS=Escherichia coli (strain K12) GN=fliM PE=1 SV=1,1,101.2927133,93.35433286,121.8130725,105.4867062
P15070,Flagellar motor switch protein FliN,fliN,>sp|P15070|FLIN_ECOLI Flagellar motor switch protein FliN OS=Escherichia coli (strain K12) GN=fliN PE=1 SV=1,1,105.7500791,71.20339284,110.0099181,95.65446333
P22586,Flagellar protein fliO,fliO,>sp|P22586|FLIO_ECOLI Flagellar protein fliO OS=Escherichia coli (strain K12) GN=fliO PE=3 SV=3,1,10.73733935,22.46379267,19.70080111,17.63397771
P0AC05,Flagellar biosynthetic protein fliP,fliP,>sp|P0AC05|FLIP_ECOLI Flagellar biosynthetic protein fliP OS=Escherichia coli (strain K12) GN=fliP PE=3 SV=1,1,35.551313,23.92275809,30.33374847,29.93593985
P0AEM9,Cystine-binding periplasmic protein,fliY,>sp|P0AEM9|FLIY_ECOLI Cystine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fliY PE=1 SV=1,1,278.9655114,236.9817658,246.9311506,254.2928093
P15286,Flagellar regulator flk,flk,>sp|P15286|FLK_ECOLI Flagellar regulator flk OS=Escherichia coli (strain K12) GN=flk PE=3 SV=2,1,35.09546181,13.40694096,12.61240365,20.37160214
P39180,Antigen 43;Antigen 43 alpha chain;Antigen 43 beta chain,flu,>sp|P39180|AG43_ECOLI Antigen 43 OS=Escherichia coli (strain K12) GN=flu PE=1 SV=3,1,31.22886244,22.08103061,32.94889351,28.75292885
P23882,Methionyl-tRNA formyltransferase,fmt,>sp|P23882|FMT_ECOLI Methionyl-tRNA formyltransferase OS=Escherichia coli (strain K12) GN=fmt PE=1 SV=4,1,208.6236905,153.9554475,203.6196485,188.7329288
P0A9E5,Fumarate and nitrate reduction regulatory protein,fnr,>sp|P0A9E5|FNR_ECOLI Fumarate and nitrate reduction regulatory protein OS=Escherichia coli (strain K12) GN=fnr PE=1 SV=1,1,120.7284229,58.23727102,74.1705258,84.37873991
P0AC23,Probable formate transporter 1,focA,>sp|P0AC23|FOCA_ECOLI Probable formate transporter 1 OS=Escherichia coli (strain K12) GN=focA PE=1 SV=1,1,30.45557654,53.09058523,33.16106717,38.90240965
P0ABQ4,Dihydrofolate reductase,folA,>sp|P0ABQ4|DYR_ECOLI Dihydrofolate reductase OS=Escherichia coli (strain K12) GN=folA PE=1 SV=1,1,183.4321061,93.47891888,126.240005,134.3836767
P0AC16,Dihydroneopterin aldolase,folB,>sp|P0AC16|FOLB_ECOLI Dihydroneopterin aldolase OS=Escherichia coli (strain K12) GN=folB PE=1 SV=1,1,170.7621111,128.0336554,316.770842,205.1888695
P08192,Bifunctional protein folC;Folylpolyglutamate synthase;Dihydrofolate synthase,folC,>sp|P08192|FOLC_ECOLI Bifunctional protein folC OS=Escherichia coli (strain K12) GN=folC PE=1 SV=2,1,85.44267625,71.30306414,90.75799157,82.50124399
P24186,Bifunctional protein FolD;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase,folD,>sp|P24186|FOLD_ECOLI Bifunctional protein FolD OS=Escherichia coli (strain K12) GN=folD PE=1 SV=4,1,347.4756646,260.0764938,310.6828288,306.0783291
P0A6T5,GTP cyclohydrolase 1,folE,>sp|P0A6T5|GCH1_ECOLI GTP cyclohydrolase 1 OS=Escherichia coli (strain K12) GN=folE PE=1 SV=2,1,783.2470587,604.8622939,667.8662284,685.3251936
P0AC13,Dihydropteroate synthase,folP,>sp|P0AC13|DHPS_ECOLI Dihydropteroate synthase OS=Escherichia coli (strain K12) GN=folP PE=1 SV=1,1,150.7773889,123.8398717,156.2455244,143.6209283
P0AC19,"D-erythro-7,8-dihydroneopterin triphosphate epimerase",folX,">sp|P0AC19|FOLX_ECOLI D-erythro-7,8-dihydroneopterin triphosphate epimerase OS=Escherichia coli (strain K12) GN=folX PE=1 SV=2",1,550.3224871,340.4263469,309.4631129,400.070649
P28861,Ferredoxin--NADP reductase,fpr,>sp|P28861|FENR_ECOLI Ferredoxin--NADP reductase OS=Escherichia coli (strain K12) GN=fpr PE=1 SV=4,1,68.44991695,53.218115,70.0635044,63.91051212
P00363,Fumarate reductase flavoprotein subunit,frdA,>sp|P00363|FRDA_ECOLI Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3,1,2264.555124,1721.267141,2331.319527,2105.713931
P0AC47,Fumarate reductase iron-sulfur subunit,frdB,>sp|P0AC47|FRDB_ECOLI Fumarate reductase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=frdB PE=1 SV=2,1,1621.123725,1471.197871,1508.197302,1533.5063
P0A8Q0,Fumarate reductase subunit C,frdC,>sp|P0A8Q0|FRDC_ECOLI Fumarate reductase subunit C OS=Escherichia coli (strain K12) GN=frdC PE=1 SV=1,1,525.1225878,469.56293,536.5516459,510.4123879
P0A8Q3,Fumarate reductase subunit D,frdD,>sp|P0A8Q3|FRDD_ECOLI Fumarate reductase subunit D OS=Escherichia coli (strain K12) GN=frdD PE=1 SV=1,1,91.31917297,291.7063848,13.66705505,132.230871
