# Generated from the following BioVelo query on EcoCyc, 12:28pm, November 3, 2024: html-sort-ascending(html-table-headers([(x^?name, x^?frame-id, x^regulated-by, [c: c<-x^components, c isa DNA-Binding-Sites]) : x<-ECOLI^^Transcription-Units,  !(classp x), Evidence := (evidence x), [e:e<-Evidence]], ("Name", "Frame ID", "Regulated by", "DNA Binding Sites", "Evidence")), 2)
cyaY	TU0-14229
gloA	TU0-8182
yjjZ	TU0-8630
sbcB	TU0-6513
idnK	TU0-4681		GntR DNA-binding-site 78.5 bases upstream of idnDp,GntR DNA-binding-site 58.5 bases upstream of idnDp,GntR DNA-binding-site 108.5 bases upstream of idnDp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of idnDp,IdnR-5-ketogluconate DNA-binding-site 78.5 bases upstream of idnDp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 91.5 bases upstream of idnDp
ampG	TU0-12926
rnlB	TU0-14812
rfbACX	TU0-14523
pppA	TU0-13814
yciW	TU0-13203
ldtD	TU0-13090
pdxA-rsmA-apaGH	TU0-5201
insH-1	TU0-8831
ypfH	TU0-13643
yebE	TU0-13436		CpxR-phosphorylated DNA-binding-site 44 bases upstream of yebEp
yfdGHI	TU0-13601
aceEF	TU0-45254		ArcA-P<sup>asp54</sup> DNA-binding-site regulating aceEp2
secMA-mutT	TU0-4343
opgB	TU0-14212
ygeV	TU0-8748
intZ	TU0-13628
hupB	TU489		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 83.5 bases upstream of hupBp3,Fis DNA-binding-site 145 bases upstream of hupBp3,Fis DNA-binding-site 122 bases upstream of hupBp3,Fis DNA-binding-site 89.5 bases upstream of hupBp3,Fis DNA-binding-site 141 bases downstream of hupBp3
yafV	TU0-8545
mnmA	TU0-14364
hldE	TU0-13846
alaS	TU0-6441		AlaS-L-alanine DNA-binding transcriptional repressor DNA-binding-site 6.5 bases upstream of alaSp
slp-dctR	TU00096		MarA DNA-binding-site 39 bases downstream of slpp
frwD	TU0-14311
lpp	TU0-8380
mog	TU0-12790
lapAB	TU0-45261
fumA	TU00104	Regulation of fumA by small regulatory RNA RyhB	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 402.5 bases upstream of fumAp,ArcA-P<sup>asp54</sup> DNA-binding-site regulating fumAp
ubiT-yhbS	TU0-14656
ybcH	TU0-14365
yphA	TU0-13661
ytfK	TU0-8146
tmaR	TU0-13485
rclR	TU0-12886
ykgH	TU0-12888
selD-topB	TU0-14798
yhfG-fic-pabA	TU0-6885
mngB	TU0-44204
yjdC	TU0-14671
ytfF	TU0-14160
rplL	TU0-8464
yqgD	TU0-8654
pgk	TU0-14814
yjeFE-amiB-mutL-miaA-hfq-hflXKC	TU802
ybjO-rlmC	TU0-13072
rarD	TU0-14044
pyrSR-ypdC	TU0-13613
yccM	TU0-13111	Regulation of yccM by DNA-binding transcriptional dual regulator Nac
qorA	TU0-14227
yihUTS	TU0-42688
cybC	TU0-14168
trkG	TU0-13233
yecF	TU0-8716
metH	TU0-42471
bamD	TU0-4221
leuO	TU0-42475
lolCDE	TU0-13141
pqiABC	TU562
ybiV	TU0-13061
ybaB-recR	TU0-3422
gapA-yeaD	TU0-4904
imp-surA-pdxA	TU0-4287
speE	TU0-44217
efeU	TU0-13115		CpxR-phosphorylated DNA-binding-site 54.5 bases upstream of efeUp
yghB	TU0-13822
guaC	TU0-8807
rrlE-rrfE	TU0-14530
clpB	TU00421
ynjH	TU0-8642
adhP	TU0-13286	Regulation of adhP by ppGpp
dinI	TU0-13128
yeaGH	TU0-14632
puuCBE	TU0-13211	Regulation of puuCBE by DNA-binding transcriptional regulator PtrR-L-glutamine
bsmA	TU0-14156
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	TU00347	Regulation of rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ by small RNA FliX,Regulation of rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ by small RNA FliX,Regulation of rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ by small RNA FliX,Regulation of rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ by small RNA MotR	ArcA-P<sup>asp54</sup> DNA-binding-site regulating rpsJp
glgCAP	TU00470	Regulation of glgCAP by carbon storage regulator CsrA,Regulation of glgCAP by carbon storage regulator CsrA
csrA	TU0-42458
gltS	TU0-8804
deoCABD	TU00018		ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding-site 35 bases upstream of deoCp2,Fis DNA-binding-site 102 bases upstream of deoCp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 93.5 bases upstream of deoCp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of deoCp2,CytR DNA-binding-site 61 bases upstream of deoCp2,DeoR DNA-binding-site 8 bases upstream of deoCp2,DeoR DNA-binding-site 308 bases upstream of deoCp2,DeoR DNA-binding-site 887 bases upstream of deoCp2,CytR DNA-binding-site 70.5 bases upstream of deoCp2
ycgZ	TU0-13160
dgcF	TU0-13302
yaaJ	TU0-12789
rpmH-rnpA	TU743
rlmE-ftsH	TU00414
artPIQM	TU0-14678
casABCDE12	TU0-13725
dcuSR	TU0-8347		NarL-P<sup>asp59</sup> DNA-binding-site 40 bases upstream of dcuSp,NarL-P<sup>asp59</sup> DNA-binding-site 31 bases upstream of dcuSp,Fnr DNA-binding-site regulating dcuSp
hypABCDE-fhlA	TU0-8344
yffMN	TU0-13630
csrD	TU0-13904
galE	TU0-42578
icdC	TU0-13155
cfa	TU0-45251	Regulation of cfa by small regulatory RNA CpxQ,Regulation of cfa by small regulatory RNA RydC,Regulation of cfa by small regulatory RNA ArrS
tilS	TU0-12833
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	TU0-1191		Fis DNA-binding-site 174 bases upstream of rrsDp,Fis DNA-binding-site 144 bases upstream of rrsDp,Fis DNA-binding-site 126 bases upstream of rrsDp,Fis DNA-binding-site 91 bases upstream of rrsDp,Fis DNA-binding-site 71 bases upstream of rrsDp
nadC	TU0-12812
fetAB	TU0-12957
ecnB	TU0-14682	Regulation of ecnB by ppGpp,Regulation of ecnB by small regulatory RNA MicA
yhdJ	TU0-13905
recN	TU0-2		LexA DNA-binding-site 22.5 bases upstream of recNp,LexA DNA-binding-site 0.5 bases upstream of recNp
rbn	TU0-13573
ssb	TU0-6563		ArcA-P<sup>asp54</sup> DNA-binding-site 153.5 bases upstream of ssbp1,ArcA-P<sup>asp54</sup> DNA-binding-site 90.5 bases upstream of ssbp1,ArcA-P<sup>asp54</sup> DNA-binding-site 7.5 bases upstream of ssbp1,ArcA-P<sup>asp54</sup> DNA-binding-site 50.5 bases upstream of ssbp1
dgt	TU0-14393
ytfK	TU0-93010
ycaK	TU0-8673
ptsG	TU0-1141	Regulation of ptsG by small regulatory RNA SgrS	ArcA-P<sup>asp54</sup> DNA-binding-site 85 bases upstream of ptsGp1,ArcA-P<sup>asp54</sup> DNA-binding-site 48 bases upstream of ptsGp1,ArcA-P<sup>asp54</sup> DNA-binding-site 2 bases downstream of ptsGp1,Fis DNA-binding-site 5 bases upstream of ptsGp2,Fis DNA-binding-site 22 bases downstream of ptsGp2,Fis DNA-binding-site 61 bases downstream of ptsGp2,Fis DNA-binding-site 122 bases downstream of ptsGp2,Fis DNA-binding-site 143 bases downstream of ptsGp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 94.5 bases upstream of ptsGp1,Mlc DNA-binding-site 6 bases upstream of ptsGp1,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of ptsGp1
yfaZ	TU0-13568
ydiP	TU0-8710
ydcK	TU0-8701	Regulation of ydcK by DNA-binding transcriptional repressor GlaR,Regulation of ydcK by ppGpp
yhfXW-php-yhfUTS	TU0-13924	Regulation of yhfXW-php-yhfUTS by DNA-binding transcriptional dual regulator Cra
ybaL	TU0-12952
ydiK	TU0-13369
bisC	TU0-8773
yciVOQ	TU0-13194
yebB	TU0-8244
pepN	TU0-8489
prlC-yhiQ	TU0-13957
sraA	TU0-8514
infA	TU-8389
ychE	TU0-13185
polA	TU661		DnaA-ATP DNA-binding-site 101 bases upstream of polAp
ygfM-xdhD	TU0-13782
ihfB	TU0-45280		IHF DNA-binding-site 320 bases upstream of ihfBp2,IHF DNA-binding-site 304 bases upstream of ihfBp2,IHF DNA-binding-site 207 bases upstream of ihfBp2,IHF DNA-binding-site 157 bases upstream of ihfBp2,IHF DNA-binding-site 77 bases upstream of ihfBp2,IHF DNA-binding-site 2 bases upstream of ihfBp2
asmA	TU0-13500
mltB	TU0-13719
yecT	TU0-13445
rrsA-ileT-alaT-rrlA-rrfA	TU0-45165		Lrp-leu DNA-binding-site 53 bases upstream of rrsAp,Fis DNA-binding-site 133 bases upstream of rrsAp,Fis DNA-binding-site 111 bases upstream of rrsAp,Fis DNA-binding-site 91 bases upstream of rrsAp,Fis DNA-binding-site 71 bases upstream of rrsAp
rlmE-ftsH	TU00277
ppA	TU0-8492
metJ	TU0-2708
ychJ-purU	TU0-55017
ysdE	TU0-198739
yciA	TU0-13189
citCDEFXG	TU0-14750
ftsP	TU0-13828
mnmG-rsmG	TU0-45168
ydiE	TU0-13376
rseX	TU0-14332
gcvR	TU0-6503
rrsB-gltT-rrlB-rrfB	TU0-1182		Lrp-leu DNA-binding-site 53 bases upstream of rrsBp,H-NS DNA-binding-site 26 bases upstream of rrsBp,H-NS DNA-binding-site 50 bases upstream of rrsBp,H-NS DNA-binding-site 83 bases upstream of rrsBp,Fis DNA-binding-site 143 bases upstream of rrsBp,Fis DNA-binding-site 102 bases upstream of rrsBp,Fis DNA-binding-site 71 bases upstream of rrsBp
yedEF	TU0-13455
glgAP	TU0-36417
focA-pflB	TU00378		ArcA-P<sup>asp54</sup> DNA-binding-site 5 bases downstream of focAp2
glpGR	TU402
hslO	TU0-13930
fur	TU0-1283		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 77.5 bases upstream of furpa,DNA-binding transcriptional dual regulator Fur DNA-binding-site 7 bases upstream of furpa
ygiH	TU0-8756
hflD-purB	TU00054		PurR-hypoxanthine DNA-binding-site 892.5 bases downstream of hflDp
yeeY	TU0-13491
hokE	TU0-8266
yrdA	TU0-8660
sdhE-ygfX	TU0-13788
aer	TU0-1546		Fnr DNA-binding-site 49.5 bases upstream of aerp
yjfIJ	TU0-14153
yjeV	TU0-14738
infA-serW	TU0-42662	Regulation of infA-serW by ppGpp
alr	TU0-14120
flhBAE	TU-8405		FlhDC DNA-binding-site 53.5 bases upstream of flhBp
tolC-ygiBC	TU0-14702
yihUTS	TU0-42690
syd	TU0-13737
rpoS	TU0-14649
ribA	TU0-1741		SoxS DNA-binding-site 69 bases upstream of ribAp1
trpR	TU00220		TrpR-trp DNA-binding-site 0.5 bases upstream of trpRp
mglBAC	TU0-45256		GalR DNA-binding-site 59.5 bases upstream of mglBp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of mglBp2,GalS DNA-binding-site 59.5 bases upstream of mglBp2
selC	TU0-14007
eno	TU0-45189
dcuD	TU0-1902		PhoP-P<sup>asp51</sup> DNA-binding-site 56.5 bases downstream of dcuDp1
uppS-cdsA	TU0-14609
fryBC-ypdFE-fryA	TU0-13614
yggX-mltC	TU0-5581
acpP	TU0-42537
yebF	TU0-13437	Regulation of yebF by ppGpp
glnB	TU00089		PurR-hypoxanthine DNA-binding-site 42.5 bases upstream of glnBp1
uvrD	TU0-7043
psuT	TU0-13545
rpsA-ihfB	TU564
sad	TU0-13304
yneJ	TU0-13305
infC-rpmI-rplT	TU0-3305
pflB	TU00382
ybfOC	TU0-13027
pyrLBI	TU00485
emrE	TU0-14417
phoQ	TU0-41681
uspA	TU00431		FadR DNA-binding-site 97 bases downstream of uspAp1,FadR DNA-binding-site 5 bases downstream of uspAp1
ohsC	TU0-14421
mnt-btuF-yadS	TU0-45264
tsx	TU00450	Regulation of tsx by small regulatory RNA RybB,Regulation of tsx by small regulatory RNA MicA	CytR DNA-binding-site 57.5 bases upstream of tsxp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 73.5 bases upstream of tsxp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of tsxp2,CytR DNA-binding-site 31.5 bases upstream of tsxp2
ygdI	TU0-8747
dgkA	TU0-14115
dnaN-recF	TU0-1196
gapC_1C_2	TU0-8359	Regulation of gapC_1C_2 by DNA-binding transcriptional dual regulator FNR
ykgA	TU0-12883
yidA	TU0-14019
rlmM	TU0-14306	Regulation of rlmM by DNA-binding transcriptional dual regulator Nac
yagML	TU0-12872
cmk-rpsA	TU361
ytfA	TU0-8662
hypF	TU0-14406		Cra DNA-binding-site 7.5 bases downstream of hypFp3
paaXY	TU7
dacB	TU0-8781
hypF	TU0-14405
cdh	TU0-6485
gmk	TU0-14004
ydfUT	TU0-13322
ydeN	TU0-13292
yehF	TU0-9		LexA DNA-binding-site 11.5 bases downstream of yehFp
topA	TU0-2502
pgk	TU0-14817
ybiYW	TU0-13062
dnaKJ	TU00417
glnS	TU0-14467
insE3EF3F3	TU0-12971
trpL	TU0-42510
gabDTP	TU0-45238	Regulation of gabDTP by ppGpp	Nac DNA-binding-site 44 bases upstream of gabDp
rpsP-rimM-trmD-rplS	TU00351
yntF-ydfK	TU0-13315
ileX	TU00502
rfaDFCL	TU00329
iprA	TU0-12912
lysP	TU0-6404
nanR	TU0-13895
yagGH	TU0-12868
yahC	TU0-12891
yaeR	TU0-12832
yeiH	TU0-13542	Regulation of yeiH by DNA-binding transcriptional dual regulator Nac
ygbF	TU0-14469
ybfA	TU0-13025
yccR	TU0-8679
asnU	TU00498
wrbA-yccJ	TU0-13114	Regulation of wrbA-yccJ by ppGpp
fliE	TU0-8340
yddE	TU0-13281
aldB	TU00138		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 60.5 bases upstream of aldBp,Fis DNA-binding-site 29 bases upstream of aldBp,Fis DNA-binding-site 48 bases upstream of aldBp,Fis DNA-binding-site 113 bases upstream of aldBp,Fis DNA-binding-site 135 bases upstream of aldBp,Fis DNA-binding-site 158 bases upstream of aldBp
yncL	TU0-14241
yfbV	TU0-13583	Regulation of yfbV by DNA-binding transcriptional dual regulator Nac
ffs	TU0-12938
ymfJ	TU0-13149
mazEF	TU0-198694	Regulation of mazEF by small antisense RNA aMEF
yefM-yoeB	TU0-13493
ybdG	TU0-12985
yifN	TU0-14035
yajC-secDF	TU869
ppk-ppx	TU00323
pinQ	TU0-13316	Regulation of pinQ by DNA-binding transcriptional dual regulator Nac
yncJ	TU0-14242
kdgK	TU0-7301
cbpA-cbpM	TU0-42532
yqaE-kbp	TU0-42608
narQ	TU0-13641
serB-radA	TU0-6514
yjbLM	TU0-14117
ybiB	TU0-14368
istR-2	TU0-7181
yciN	TU0-8692
glmUS	TU00280	Regulation of glmUS by small regulatory RNA GlmZ	NagC DNA-binding-site 58 bases downstream of glmUp2,NagC DNA-binding-site 96 bases upstream of glmUp2
lapAB	TU0-13200
yraM	TU0-14341
accD	TU00232	Regulation of accD by acetyl-CoA carboxyltransferase
insH-11	TU0-8833
yfdONMLK	TU0-13603	Regulation of yfdONMLK by DNA-binding transcriptional activator YgfI,Regulation of yfdONMLK by DNA-binding transcriptional activator YgfI,Regulation of yfdONMLK by DNA-binding transcriptional activator YgfI,Regulation of yfdONMLK by DNA-binding transcriptional activator YgfI
potFGHI	TU00322
lipA	TU0-13004
flu	TU0-14635
yeeL	TU0-13473
yliI	TU0-13066
murQP	TU0-14715
yodB	TU0-13470	Regulation of yodB by DNA-binding transcriptional repressor GlaR
lepAB	TU0-6942
yebW	TU0-13430
yffB-dapE-ypfN	TU0-13642
rpmF-plsX-fabHDG	TU0-1
leuLABCD	TU0-42478
dusB-fis	TU00021		Fis DNA-binding-site 221 bases upstream of dusBp,Fis DNA-binding-site 143 bases upstream of dusBp,Fis DNA-binding-site 101 bases upstream of dusBp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 167.5 bases upstream of dusBp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 252.5 bases upstream of dusBp,IHF DNA-binding-site 114 bases upstream of dusBp,Fis DNA-binding-site 26 bases downstream of dusBp,Fis DNA-binding-site 83 bases upstream of dusBp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63 bases upstream of dusBp,Fis DNA-binding-site 42 bases upstream of dusBp
tolB-pal-ybgF	TU21	Regulation of tolB-pal-ybgF by small regulatory RNA MicA
alr	TU0-14670
sfsA-dksA	TU00358
ybgA-phr	TU362	Regulation of ybgA-phr by ppGpp
fhuACDB	TU0-198712	Regulation of fhuACDB by [2Fe-2S] cluster DNA-binding transcriptional dual regulator,Regulation of fhuACDB by [2Fe-2S] cluster DNA-binding transcriptional dual regulator
cvrA	TU0-13174
ybjM	TU0-8672
srmB	TU0-8521
yaeP-rof	TU0-12834
secB-gpsA	TU0-13995
mtr	TU00093		TrpR-trp DNA-binding-site 11.5 bases upstream of mtrp2,TrpR-trp DNA-binding-site 19.5 bases upstream of mtrp2,TyrR-tyr DNA-binding-site 106.5 bases upstream of mtrp2,TyrR-tyr DNA-binding-site 76.5 bases upstream of mtrp2
insA1B1AB1	TU0-12796
clpS	TU0-14357
ilvA	TU0-6651
ssrA	TU0-42503
hemN	TU0-6505
ygeX	TU0-13774
sraB	TU0-14333
pstS	TU0-14692
yagK	TU0-12871
rspA-rspB	TU0-13333
ybjS	TU0-13074
serC	TU0-5964		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 86 bases upstream of serCp1,Lrp DNA-binding-site 134 bases upstream of serCp1
ygcNOP	TU0-13728
ssrS	TU0-45172
uxaCA	TU0-5021		Fnr DNA-binding-site regulating uxaCp2
def-fmt	TU00258
yceK	TU0-13124
sdaCB	TU00454
glnLG	TU0-198713	Regulation of glnLG by [2Fe-2S] cluster DNA-binding transcriptional dual regulator
fliE	TU-8408		FlhDC DNA-binding-site 55 bases upstream of fliFp1
ppiA	TU00466		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 12.5 bases downstream of ppiAp4,CytR DNA-binding-site 10.5 bases upstream of ppiAp4
mazEFG	TU522		Fis DNA-binding-site 53.5 bases upstream of mazEp2
yoaB	TU0-13415
pgaABCD	TU0-8471	Regulation of pgaABCD by carbon storage regulator CsrA,Regulation of pgaABCD by carbon storage regulator CsrA	NhaR-Na<SUP>+</SUP> DNA-binding-site 63 bases upstream of pgaAp,NhaR-Na<SUP>+</SUP> DNA-binding-site 41 bases upstream of pgaAp
ymcE-gnsA	TU0-13110
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	TU00337	Regulation of rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ by 30S ribosomal subunit protein S8
yjbEFGH	TU0-36435
mokB	TU0-13256	Regulation of mokB by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
ppiC	TU0-14034
sfmAC	TU0-198696	Regulation of sfmAC by LuxR family transcriptional regulator FimZ
ycgZ-ymgA-ariR-ymgC	TU0-45166
ynjE	TU0-13389
amiC	TU0-8767
wcaKLM	TU0-13498
proVWX	TU702		H-NS DNA-binding-site 33 bases upstream of proVp3,H-NS DNA-binding-site 7 bases downstream of proVp3,H-NS DNA-binding-site 26 bases downstream of proVp3,H-NS DNA-binding-site 45 bases downstream of proVp3,H-NS DNA-binding-site 72 bases downstream of proVp3,H-NS DNA-binding-site 84 bases downstream of proVp3,H-NS DNA-binding-site 100 bases downstream of proVp3,H-NS DNA-binding-site 130 bases downstream of proVp3,H-NS DNA-binding-site 156 bases downstream of proVp3,H-NS DNA-binding-site 170 bases downstream of proVp3
gntR	TU0-4522
dosCP	TU0-8478
chiZPQ	TU0-13021	Regulation of chiZPQ by small regulatory RNA ChiX
ybcK	TU0-12973	Regulation of ybcK by DNA-binding transcriptional dual regulator Nac
yfbU-hxpA	TU0-13582
ssrS	TU0-36423
nuoABCEFGHIJKLMN	TU00448	Regulation of nuoABCEFGHIJKLMN by small regulatory RNA RyhB	Fis DNA-binding-site 235.5 bases upstream of nuoAp1,Fis DNA-binding-site 198.5 bases upstream of nuoAp1,Fis DNA-binding-site 138.5 bases upstream of nuoAp1
nanCMS	TU0-42544
hxpB	TU0-13383
ybaE	TU0-12934
C0293	TU0-45287
adiY	TU821	Regulation of adiY by small regulatory RNA SgrS
pdxH-tyrS-pdxY	TU0-8864
frvABXR	TU0-14075
dolP	TU-8396
ymgE	TU0-13176
ssrS-ygfA	TU0-13794
fbaB	TU0-8469	Regulation of fbaB by ppGpp
yihPO	TU0-14065
rpoH	TU00426
bcsEFG	TU0-13972
ldrC	TU0-8845
glnAZLG	TU00027		NtrC-P<sup>asp</sup> DNA-binding-site 140 bases upstream of glnAp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 71.5 bases upstream of glnAp1,NtrC-P<sup>asp</sup> DNA-binding-site 108 bases upstream of glnAp2
cysDNC	TU00146		DNA-binding transcriptional dual regulator CysB DNA-binding-site 85 bases upstream of cysDp
ycaN	TU0-8674
yihN	TU0-14063
sppA	TU0-13391
yhbP	TU0-8575
accBC	TU00231		AccB DNA-binding-site regulating accBp1
lysT-valT-lysW	TU00492		Fis DNA-binding-site 74 bases upstream of lysTp
yfiK	TU0-8743
nfsB	TU0-4624		MarA DNA-binding-site 43.5 bases upstream of nfsBp
rihC	TU0-12797
ygeH	TU0-13763
yciY	TU0-14244
essQ-ydfR-rrrQ-rzpQ-rzoQ	TU0-13321
gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	TU0-7603		AllR-allantoin DNA-binding-site 20 bases upstream of gclp
rpmE	TU0-8506	Regulation of rpmE by 50S ribosomal subunit protein L31
sibB	TU0-13503
yceI	TU0-41656
ppiB-lpxH	TU0-12963
gadAX	TU586		H-NS DNA-binding-site regulating gadAp2,Fnr DNA-binding-site 11.5 bases downstream of gadAp2,ArcA-P<sup>asp54</sup> DNA-binding-site regulating gadAp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of gadAp2,TorR-P<SUP>asp</SUP> DNA-binding-site 73.5 bases downstream of gadAp2,GadRcs DNA-binding-site 62.5 bases upstream of gadAp2,GadW DNA-binding-site 121.5 bases upstream of gadAp2,GadX DNA-binding-site 100.5 bases upstream of gadAp2,GadX DNA-binding-site 78 bases upstream of gadAp2,GadX DNA-binding-site 57.5 bases upstream of gadAp2,GadX DNA-binding-site 10.5 bases upstream of gadAp2
wecH	TU0-8590	Regulation of wecH by DNA-binding transcriptional dual regulator Nac
mfd	TU0-2081
nuoMN	TU0-14531
ygaVP	TU0-13710
fiu	TU0-2521	Regulation of fiu by small regulatory RNA RybB	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 158.5 bases upstream of fiup,DNA-binding transcriptional dual regulator Fur DNA-binding-site 12 bases downstream of fiup,DNA-binding transcriptional dual regulator Fur DNA-binding-site 6 bases upstream of fiup,DNA-binding transcriptional dual regulator Fur DNA-binding-site 3 bases downstream of fiup,DNA-binding transcriptional dual regulator Fur DNA-binding-site 7 bases downstream of fiup
dadAX	TU00255		Lrp DNA-binding-site 79 bases downstream of dadAp2,Lrp DNA-binding-site 57 bases downstream of dadAp2,Lrp DNA-binding-site 10 bases downstream of dadAp2,Lrp DNA-binding-site 23 bases upstream of dadAp2,Lrp DNA-binding-site 68 bases upstream of dadAp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 59.5 bases upstream of dadAp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 7 bases downstream of dadAp2
ompC	TU00049	Regulation of ompC by small regulatory RNA RseX,Regulation of ompC by small regulatory RNA RybB,Regulation of ompC by small regulatory RNA MicC	CpxR-phosphorylated DNA-binding-site 351 bases upstream of ompCp1,CpxR-phosphorylated DNA-binding-site 134 bases upstream of ompCp1,CpxR-phosphorylated DNA-binding-site 95 bases upstream of ompCp1,Lrp DNA-binding-site 319 bases upstream of ompCp3,Lrp DNA-binding-site 87.5 bases downstream of micFp2,Lrp DNA-binding-site 58.5 bases downstream of micFp2,Lrp DNA-binding-site 27.5 bases downstream of micFp2,Lrp DNA-binding-site 59 bases downstream of ompCp3,Lrp-leu DNA-binding-site 64.5 bases downstream of ompCp1,Lrp DNA-binding-site 143 bases downstream of ompCp3,OmpR-P DNA-binding-site 165.5 bases upstream of micFp2,OmpR-P DNA-binding-site 186.5 bases upstream of micFp2,OmpR-P DNA-binding-site 206.5 bases upstream of micFp2,EnvY DNA-binding-site regulating ompCp1,Lrp DNA-binding-site 5.5 bases downstream of ompCp2,IHF DNA-binding-site 72 bases upstream of micFp2
ackA-pta	TU0-8301	Regulation of ackA-pta by DNA-binding transcriptional regulator CreB-phosphorylated
rutR	TU-8423
yahN	TU0-8548	Regulation of yahN by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
ppnP	TU0-12915
folB	TU0-13848
kup	TU0-14032
ppk-ppx	TU0-42452
cmr	TU423
tonB	TU00167		DNA-binding transcriptional dual regulator Fur DNA-binding-site 25 bases upstream of tonBp,DNA-binding transcriptional dual regulator Fur DNA-binding-site 19 bases upstream of tonBp,DNA-binding transcriptional dual regulator Fur DNA-binding-site 26 bases downstream of tonBp
yohC	TU0-13530	Regulation of yohC by ppGpp
ilvL	TU0-42516
folX-yfcH	TU0-13589	Regulation of folX-yfcH by small regulatory RNA FnrS
mlrA	TU0-13527
puuAP	TU0-13209
asnS	TU0-13093
pdeL	TU0-12889		Cra DNA-binding-site 159.5 bases upstream of pdeLp1
fruBKA	TU00161		Cra-fructose-1-phosphate DNA-binding-site 7.5 bases downstream of fruBp
rsd	TU784
ypfJ-tmcA	TU0-13644
yhaH	TU0-13866
yjjW	TU0-14220
tyrP	TU0-6631
yedI	TU0-13462
dsbC-recJ-prfB	TU-8392
yhhH	TU0-13949
rrsA-ileT-alaT-rrlA-rrfA	TU0-1181		Lrp-leu DNA-binding-site 53 bases upstream of rrsAp,Fis DNA-binding-site 133 bases upstream of rrsAp,Fis DNA-binding-site 111 bases upstream of rrsAp,Fis DNA-binding-site 91 bases upstream of rrsAp,Fis DNA-binding-site 71 bases upstream of rrsAp
yhjA	TU0-13965		OxyR DNA-binding-site 86 bases upstream of yhjAp,Fnr DNA-binding-site 41.5 bases upstream of yhjAp
yhjX	TU0-42492
fadE	TU0-8793		ArcA-P<sup>asp54</sup> DNA-binding-site 15 bases downstream of fadEp,FadR DNA-binding-site 74 bases downstream of fadEp
ygeQ	TU0-13769
ycgI	TU0-13168
ydhYVW	TU0-13364
clsA-yciU	TU863
ypjC	TU0-13703
aroL-yaiA-aroM	TU0-42568
ycgZ-ymgA-ariR-ymgC	TU0-14762
yeeP	TU0-13482
ygfI	TU0-13798	Regulation of ygfI by DNA-binding transcriptional dual regulator Nac
nrdHIEF	TU0-1022	Regulation of nrdHIEF by [2Fe-2S] cluster DNA-binding transcriptional dual regulator,Regulation of nrdHIEF by DNA-binding transcriptional dual regulator Cra	DNA-binding transcriptional dual regulator Fur DNA-binding-site 61 bases upstream of nrdHp
speAB	TU00204		PurR-hypoxanthine DNA-binding-site 11.5 bases downstream of speAp
ygjQ	TU0-13857
yeiE	TU0-13541	Regulation of yeiE by DNA-binding transcriptional dual regulator Nac
casDE-ygbTF	TU0-14558
