Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation
RcdA DNA-binding-site 58.5 bases upstream of asrp2	1671268.5	Regulation of asrp2 by DNA binding transcriptional dual regulator RcdA // Regulation of asrp by DNA binding transcriptional dual regulator RcdA
Fnr DNA-binding-site 40.5 bases upstream of nuoAp2	2405202.5	Regulation of nuoAp2 by DNA-binding transcriptional dual regulator FNR
PhoP-Pasp51 DNA-binding-site 11 bases downstream of argDp	3490211	Regulation of argDp by DNA-binding transcriptional dual regulator PhoP-phosphorylated
ArcA-Pasp54 DNA-binding-site 3 bases downstream of betTp	329423	Regulation of betTp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
CpxR-phosphorylated DNA-binding-site 186 bases upstream of csgDp3	1103530	Regulation of csgDp3 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of csgDp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated
Lrp DNA-binding-site regulating ssrSp		Regulation of ssrSp by DNA-binding transcriptional dual regulator Lrp // Regulation of ssrSp2 by DNA-binding transcriptional dual regulator Lrp
GadX DNA-binding-site 78 bases upstream of gadAp2	3667685	Regulation of gadAp2 by DNA-binding transcriptional dual regulator GadX // Regulation of gadAp by DNA-binding transcriptional dual regulator GadX
Fis DNA-binding-site 48 bases upstream of aldBp	3756583	Regulation of aldBp by DNA-binding transcriptional dual regulator Fis
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 42.5 bases upstream of csiEp2	2665358.5d0	Regulation of csiEp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of csiEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Fis DNA-binding-site 71 bases upstream of glpTQp	2352522	Regulation of glpTQp by DNA-binding transcriptional dual regulator Fis // Regulation of glpAp by DNA-binding transcriptional dual regulator Fis
PdeL DNA-binding-site 189 bases upstream of pdeLp2	331684	Regulation of pdeLp2 by DNA-binding transcriptional dual regulator/c-di-GMP phosphodiesterase PdeL
ArcA-Pasp54 DNA-binding-site 36 bases downstream of ndhp	1166027	Regulation of ndhp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
PaaX DNA-binding-site 30 bases downstream of paaAp	1453894	Regulation of paaAp by DNA-binding transcriptional repressor PaaX
EvgA-Pasp DNA-binding-site 31.5 bases upstream of acrDp	2587443.5	Regulation of acrDp by DNA-binding transcriptional activator EvgA-phosphorylated
YdeO DNA-binding-site 61 bases upstream of hyaAp2	1031923	Regulation of hyaAp2 by DNA-binding transcriptional dual regulator YdeO // Regulation of hyaAp by DNA-binding transcriptional dual regulator YdeO
CytR DNA-binding-site 61 bases upstream of udpP	4016330	Regulation of udpP by DNA-binding transcriptional repressor CytR
H-NS DNA-binding-site regulating cadCp		Regulation of cadCp by DNA-binding transcriptional dual regulator H-NS
LeuO DNA-binding-site 254 bases upstream of leuOp2	84050	Regulation of leuOp2 by DNA-binding transcriptional dual regulator LeuO // Regulation of leuOp2 by DNA-binding transcriptional dual regulator LeuO
MetJ-SAM DNA-binding-site 20.5 bases downstream of metAp1	4214252.5d0	Regulation of metAp1 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine
IHF DNA-binding-site 225 bases upstream of acsp	4287616	Regulation of acsp by DNA-binding transcriptional dual regulator IHF // Regulation of acsp2 by DNA-binding transcriptional dual regulator IHF // Regulation of acsp1 by DNA-binding transcriptional dual regulator IHF // Regulation of nrfAp by DNA-binding transcriptional dual regulator IHF
TorR-Pasp DNA-binding-site 25.5 bases upstream of torCp	1058030.5d0	Regulation of torCp by DNA-binding transcriptional dual regulator TorR-phosphorylated
H-NS DNA-binding-site 3.5 bases downstream of dpsp2	848947.5	Regulation of dpsp2 by DNA-binding transcriptional dual regulator H-NS // Regulation of dpsp by DNA-binding transcriptional dual regulator H-NS
Rob DNA-binding-site 161 bases upstream of aldAp	1488029	Regulation of aldAp by DNA-binding transcriptional dual regulator Rob
Fis DNA-binding-site 10 bases upstream of dpsp2	848960	Regulation of dpsp2 by DNA-binding transcriptional dual regulator Fis // Regulation of dpsp by DNA-binding transcriptional dual regulator Fis
TyrR-tyr DNA-binding-site 19.5 bases downstream of tyrBp	4267100.5d0	Regulation of tyrBp by DNA-binding transcriptional repressor TyrR-L-tyrosine
McbR DNA-binding-site regulating mcbAp5		Regulation of mcbAp5 by DNA-binding transcriptional dual regulator McbR
LexA DNA-binding-site 220.5 bases upstream of uvrBp2	813241.5	Regulation of uvrBp2 by DNA-binding transcriptional repressor LexA
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases downstream of fumAp	1688377.5	Regulation of fumAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
LacI DNA-binding-site 11 bases downstream of lacZp1	366333	Regulation of lacZp1 by DNA-binding transcriptional repressor LacI
Fis DNA-binding-site 76 bases upstream of alaWp	2518329	Regulation of alaWp by DNA-binding transcriptional dual regulator Fis
PurR-hypoxanthine DNA-binding-site 23.5 bases upstream of pyrCp	1122666.5	Regulation of pyrCp by DNA-binding transcriptional repressor PurR-hypoxanthine
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 107.5 bases upstream of gltAp1	754874.5	Regulation of gltAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of sdhCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
DnaA-ATP DNA-binding-site 148 bases upstream of uvrBp2	813314	Regulation of uvrBp2 by DnaA-ATP
NarL-Pasp59 DNA-binding-site 90 bases downstream of adhEp	1298324	Regulation of adhEp by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of adhEp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of adhEp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated
PhoP-Pasp51 DNA-binding-site 31 bases upstream of nagAp	703206	Regulation of nagAp by DNA-binding transcriptional dual regulator PhoP-phosphorylated
ArcA-Pasp54 DNA-binding-site 2 bases downstream of ptsGp1	1157767	Regulation of ptsGp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated
GadX DNA-binding-site 17.5 bases upstream of gadBp2	1572089.5	Regulation of gadBp2 by DNA-binding transcriptional dual regulator GadX // Regulation of gadBp by DNA-binding transcriptional dual regulator GadX
PhoP-Pasp51 DNA-binding-site 34.5 bases downstream of ydePp	1586630.5	Regulation of ydePp by DNA-binding transcriptional dual regulator PhoP-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 71.5 bases upstream of ascFp	2839357.5	Regulation of ascFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
OxyR DNA-binding-site 35 bases upstream of trxCp	2718640	Regulation of trxCp by DNA-binding transcriptional dual regulator OxyR
NarL-Pasp59 DNA-binding-site 50 bases upstream of ytfEp	4432059	Regulation of ytfEp by DNA-binding transcriptional dual regulator NarL-phosphorylated
GlpR DNA-binding-site 315.5 bases downstream of glpTQp	2352136.5	Regulation of glpTQp by DNA-binding transcriptional repressor GlpR
H-NS DNA-binding-site 24 bases downstream of lacZp1	366320	Regulation of lacZp1 by DNA-binding transcriptional dual regulator H-NS
ArgP DNA-binding-site 69.5 bases upstream of dnaAp1	3884030.5	Regulation of dnaAp1 by DNA-binding transcriptional dual regulator ArgP
NarL-Pasp59 DNA-binding-site 79 bases upstream of nrfAp	4287592	Regulation of nrfAp by DNA-binding transcriptional dual regulator NarL-phosphorylated
FadR DNA-binding-site 17 bases upstream of fadLp	2461188	Regulation of fadLp by DNA-binding transcriptional dual regulator FadR
LeuO DNA-binding-site regulating ybeQ	676686	Regulation of ybeQ by DNA-binding transcriptional dual regulator LeuO
NhaR-Na+ DNA-binding-site regulating rrsCp1		Regulation of rrsCp1 by NhaR-Na+ DNA-binding transcriptional activator
IHF DNA-binding-site 59.5 bases upstream of rpoEp1b	2710452.5	Regulation of rpoEp1b by DNA-binding transcriptional dual regulator IHF
Lrp-leu DNA-binding-site 304.5 bases upstream of yojIp	2308945.5	Regulation of yojIp by DNA-binding transcriptional dual regulator Lrp-L-leucine
Fis DNA-binding-site 19 bases downstream of hlyEp	1230448	Regulation of hlyEp by DNA-binding transcriptional dual regulator Fis
Fis DNA-binding-site 72 bases upstream of cspAp1	3719817	Regulation of cspAp1 by DNA-binding transcriptional dual regulator Fis
Fis DNA-binding-site 112 bases upstream of rrsGp	2731560	Regulation of rrsGp by DNA-binding transcriptional dual regulator Fis // Regulation of rrsGp1 by DNA-binding transcriptional dual regulator Fis
GalS-galactose DNA-binding-site 207.5 bases upstream of galPp	3088047.5	Regulation of galPp by GalS-D-galactose
ArgR-arg DNA-binding-site 34.5 bases upstream of lysOp	914929.5	Regulation of lysOp by ArgR-L-arginine DNA-binding transcriptional dual regulator
GadX DNA-binding-site regulating uspEp		Regulation of uspEp by DNA-binding transcriptional dual regulator GadX
XylR-xylose DNA-binding-site 2.5 bases downstream of araCp	70224.5	Regulation of araCp by DNA-binding transcriptional dual regulator XylR-alpha-D-xylopyranose
NtrC-Pasp DNA-binding-site 109 bases upstream of ddpXp1	1563216	Regulation of ddpXp1 by DNA-binding transcriptional dual regulator NtrC-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 231.5 bases upstream of malSp	3737238.5	Regulation of malSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Fis DNA-binding-site 255 bases upstream of hupAp	4199921	Regulation of hupAp by DNA-binding transcriptional dual regulator Fis
IHF DNA-binding-site 66.5 bases upstream of csgDp3	1103410.5	Regulation of csgDp3 by DNA-binding transcriptional dual regulator IHF // Regulation of csgDp1 by DNA-binding transcriptional dual regulator IHF
NsrR DNA-binding-site 115 bases upstream of yibDp1	3790264	Regulation of yibDp1 by DNA-binding transcriptional dual regulator NsrR
Fis DNA-binding-site 94 bases upstream of topAp4	1330724	Regulation of topAp4 by DNA-binding transcriptional dual regulator Fis // Regulation of topAp1 by DNA-binding transcriptional dual regulator Fis
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 52.5 bases upstream of trgp	1492386.5	Regulation of trgp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
DnaA-ATP DNA-binding-site 48 bases upstream of rpoHp3	3600918	Regulation of rpoHp3 by DnaA-ATP // Regulation of rpoHp4 by DnaA-ATP
Lrp DNA-binding-site 56 bases upstream of ridAp	4471002	Regulation of ridAp by DNA-binding transcriptional dual regulator Lrp
Lrp DNA-binding-site 87.5 bases downstream of micFp2	2313170.5	Regulation of micFp2 by DNA-binding transcriptional dual regulator Lrp // Regulation of ompCp3 by DNA-binding transcriptional dual regulator Lrp // Regulation of micFp1 by DNA-binding transcriptional dual regulator Lrp // Regulation of ompCp2 by DNA-binding transcriptional dual regulator Lrp // Regulation of ompCp1 by DNA-binding transcriptional dual regulator Lrp
NtrC phosphorylated dimer DNA-binding-site 79 bases upstream of glnHp2	848126	Regulation of glnHp2 by NtrC phosphorylated dimer
Fis DNA-binding-site 166 bases upstream of glpTQp	2352617	Regulation of glpTQp by DNA-binding transcriptional dual regulator Fis // Regulation of glpAp by DNA-binding transcriptional dual regulator Fis
Lrp-leu DNA-binding-site 64.5 bases downstream of ompCp1	2312766.5	Regulation of ompCp1 by DNA-binding transcriptional dual regulator Lrp-L-leucine
Fis DNA-binding-site 101 bases upstream of rrsEp3	4207762	Regulation of rrsEp3 by DNA-binding transcriptional dual regulator Fis // Regulation of rrsEp1 by DNA-binding transcriptional dual regulator Fis
NorR DNA-binding-site 45 bases upstream of norRp	2832352	Regulation of norRp by DNA-binding transcriptional dual regulator NorR // Regulation of norVp by DNA-binding transcriptional dual regulator NorR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating mokB	1492330.5	Regulation of mokB by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CpxR-phosphorylated DNA-binding-site 96.5 bases upstream of ppiDp2	461722.5	Regulation of ppiDp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 54.5 bases upstream of araCp	70168.5	Regulation of araCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of araBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Nac DNA-binding-site 81 bases upstream of gdhAp	1842227	Regulation of gdhAp by DNA-binding transcriptional dual regulator Nac
Fnr DNA-binding-site 58.5 bases upstream of focAp3	954872.5	Regulation of focAp3 by DNA-binding transcriptional dual regulator FNR
AllR-allantoin DNA-binding-site 37 bases upstream of allSp	532337	Regulation of allSp by AllR-allantoin // Regulation of allAp by AllR-allantoin
ArgP DNA-binding-site regulating asd		Regulation of asd by DNA-binding transcriptional dual regulator ArgP
Fis DNA-binding-site 66 bases upstream of narGp	1279741	Regulation of narGp by DNA-binding transcriptional dual regulator Fis
IHF DNA-binding-site 157 bases upstream of ihfBp2	963592	Regulation of ihfBp2 by DNA-binding transcriptional dual regulator IHF // Regulation of ihfBp by DNA-binding transcriptional dual regulator IHF
IHF DNA-binding-site 52 bases upstream of glmYp1	2691392	Regulation of glmYp1 by DNA-binding transcriptional dual regulator IHF
DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating glpFK	4118545	Regulation of zapB by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator // Regulation of glpFK by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
DNA-binding transcriptional dual regulator Fur DNA-binding-site 14 bases upstream of fecIp	4518296	Regulation of fecIp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
Fis DNA-binding-site 33 bases upstream of dmsAp1	940790	Regulation of dmsAp1 by DNA-binding transcriptional dual regulator Fis
Cra DNA-binding-site 43.5 bases upstream of gapAp	1862691.5	Regulation of gapAp by DNA-binding transcriptional dual regulator Cra // Regulation of gapAp4 by DNA-binding transcriptional dual regulator Cra // Regulation of gapAp3 by DNA-binding transcriptional dual regulator Cra // Regulation of gapAp2 by DNA-binding transcriptional dual regulator Cra // Regulation of gapAp1 by DNA-binding transcriptional dual regulator Cra
GlaR DNA-binding-site regulating ypjA	2782949	Regulation of ypjA by DNA-binding transcriptional repressor GlaR
SlyA DNA-binding-site 117.5 bases upstream of leuOp	84070.5	Regulation of leuOp by DNA-binding transcriptional dual regulator SlyA
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 32.5 bases upstream of gdhAp	1842275.5d0	Regulation of gdhAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
OxyR DNA-binding-site 77 bases upstream of dsbGp	638877	Regulation of dsbGp by DNA-binding transcriptional dual regulator OxyR // Regulation of ahpCp1 by DNA-binding transcriptional dual regulator OxyR
Pasp56 RcsB DNA-binding-site 43.5 bases upstream of lolAp	937284.5	Regulation of lolAp by DNA-binding transcriptional dual regulator RcsB-phosphorylated
ModE-MoO42- DNA-binding-site 141.5 bases upstream of narXp	1277918.5d0	Regulation of narXp by DNA-binding transcriptional dual regulator ModE-molybdate
H-NS DNA-binding-site regulating flhDp		Regulation of flhDp by DNA-binding transcriptional dual regulator H-NS
UxuR DNA-binding-site 46.5 bases upstream of uxuRp	4554411.5	Regulation of uxuRp by DNA-binding transcriptional repressor UxuR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of caiFp	34176.5d0	Regulation of caiFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
SoxS DNA-binding-site 56.5 bases upstream of ybjCp	890835.5	Regulation of ybjCp by DNA-binding transcriptional dual regulator SoxS
YefM DNA-binding-site 10.5 bases upstream of yefMp	2089743.5	Regulation of yefMp by antitoxin/DNA-binding transcriptional repressor YefM
YgfI DNA-binding-site regulating yfdPQ (BS0-10661)	2473511	Regulation of yfdPQ by DNA-binding transcriptional activator YgfI // Regulation of yfdONMLK by DNA-binding transcriptional activator YgfI
NarL-Pasp59 DNA-binding-site 80 bases upstream of cydDp	931111	Regulation of cydDp by DNA-binding transcriptional dual regulator NarL-phosphorylated
OxyR DNA-binding-site 8 bases downstream of grxAp	890769	Regulation of grxAp by DNA-binding transcriptional dual regulator OxyR
SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8639)	4531993.5	Regulation of sgcXBCQAER by DNA-binding transcriptional dual regulator SlyA
Lrp-leu DNA-binding-site 73 bases upstream of rrsAp	4035166	Regulation of rrsAp by DNA-binding transcriptional dual regulator Lrp-L-leucine // Regulation of rrsAp1 by DNA-binding transcriptional dual regulator Lrp-L-leucine
GlpR DNA-binding-site 414.5 bases downstream of glpDp	3562384.5d0	Regulation of glpDp by DNA-binding transcriptional repressor GlpR
McbR DNA-binding-site regulating rsdp2		Regulation of rsdp2 by DNA-binding transcriptional dual regulator McbR
IHF DNA-binding-site 207 bases upstream of ihfBp2	963542	Regulation of ihfBp2 by DNA-binding transcriptional dual regulator IHF // Regulation of ihfBp by DNA-binding transcriptional dual regulator IHF
GadX DNA-binding-site 121.5 bases upstream of gadAp2	3667728.5	Regulation of gadAp2 by DNA-binding transcriptional dual regulator GadX // Regulation of gadAp by DNA-binding transcriptional dual regulator GadX
Cra DNA-binding-site 46.5 bases upstream of ppcp	4153236.5	Regulation of ppcp by DNA-binding transcriptional dual regulator Cra
LeuO DNA-binding-site 149 bases upstream of bglGp1	3906846	Regulation of bglGp1 by DNA-binding transcriptional dual regulator LeuO
IdnR-5-ketogluconate DNA-binding-site 2.5 bases downstream of gntKp	3577643.5	Regulation of gntKp by IdnR-5-dehydro-D-gluconate DNA-binding transcriptional dual regulator
TyrR-phe DNA-binding-site 38 bases upstream of aroGp	785553	Regulation of aroGp by DNA-binding transcriptional repressor TyrR-L-phenylalanine
GlpR DNA-binding-site 348.5 bases downstream of glpTQp	2352103.5	Regulation of glpTQp by DNA-binding transcriptional repressor GlpR
Lrp DNA-binding-site 10 bases downstream of dadAp2	1237534	Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp // Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp // Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp
DNA-binding transcriptional dual regulator Fur DNA-binding-site 3 bases downstream of yjjZp	4605779	Regulation of yjjZp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator // Regulation of fhuFp1 by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
MetR-L-homocysteine DNA-binding-site 121 bases upstream of glyAp	2685695	Regulation of glyAp by MetR-L-homocysteine
RcsB-BglJ DNA-binding-site 44.5 bases upstream of yqhGp	3157500.5	Regulation of yqhGp by RcsB-BglJ DNA-binding transcriptional activator
GadE DNA-binding-site 78.5 bases upstream of yhiMp	3634664.5	Regulation of yhiMp by DNA-binding transcriptional activator GadE
AsnC DNA-binding-site 12.5 bases downstream of asnCp	3927019.5	Regulation of asnCp by DNA-binding transcriptional dual regulator AsnC // Regulation of asnAp by DNA-binding transcriptional dual regulator AsnC
SoxS DNA-binding-site 49 bases upstream of fldBp	3039773	Regulation of fldBp by DNA-binding transcriptional dual regulator SoxS
NagC DNA-binding-site 80 bases upstream of manXp	1901853	Regulation of manXp by DNA-binding transcriptional dual regulator NagC
DNA-binding transcriptional repressor IclR DNA-binding-site 141 bases upstream of aceBp	4215261	Regulation of aceBp by IclR-pyruvate DNA-binding transcriptional repressor
NarL-Pasp59 DNA-binding-site 6 bases downstream of ydhYp	1754637	Regulation of ydhYp by DNA-binding transcriptional dual regulator NarL-phosphorylated
ArgR-arg DNA-binding-site 78.5 bases upstream of astCp2	1832122.5	Regulation of astCp2 by ArgR-L-arginine DNA-binding transcriptional dual regulator
IHF DNA-binding-site 47 bases upstream of ihfAp4	1795768	Regulation of ihfAp4 by DNA-binding transcriptional dual regulator IHF
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating sgcXBCQAER	4531727.5	Regulation of sgcXBCQAER by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
QseB-Pasp51 DNA-binding-site 3 bases upstream of feaRp2	1447312	Regulation of feaRp2 by Phosphorylated DNA-binding transcriptional activator QseB
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 25 bases upstream of csgDp3	1103369	Regulation of csgDp3 by phosphorylated DNA-binding transcriptional dual regulator BtsR // Regulation of csgDp1 by phosphorylated DNA-binding transcriptional dual regulator BtsR
SoxS DNA-binding-site 44 bases upstream of sodAp	4100715	Regulation of sodAp by DNA-binding transcriptional dual regulator SoxS
MatA DNA-binding-site regulating ecpAp		Regulation of ecpAp by DNA-binding transcriptional dual regulator MatA
Nac DNA-binding-site regulating yhdV	3418280	Regulation of yhdV by DNA-binding transcriptional dual regulator Nac
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 175.5 bases upstream of mtlAp	3772012.5d0	Regulation of mtlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
FlhDC DNA-binding-site 54 bases upstream of flgAp	1130939	Regulation of flgAp by FlhDC DNA-binding transcriptional dual regulator
CreB-Pasp54 DNA-binding-site regulating ackA-pta		Regulation of ackA-pta by DNA-binding transcriptional regulator CreB-phosphorylated
NtrC-Pasp DNA-binding-site 233 bases upstream of astCp2	1832277	Regulation of astCp2 by DNA-binding transcriptional dual regulator NtrC-phosphorylated
GadW DNA-binding-site 81.5 bases upstream of slpp	3653854.5	Regulation of slpp by DNA-binding transcriptional dual regulator GadW
NtrC-Pasp DNA-binding-site 140 bases upstream of glnAp2	4058247	Regulation of glnAp2 by DNA-binding transcriptional dual regulator NtrC-phosphorylated // Regulation of glnAp1 by DNA-binding transcriptional dual regulator NtrC-phosphorylated
MelR DNA-binding-site 238.5 bases upstream of melAp	4341648.5	Regulation of melAp by DNA-binding transcriptional dual regulator MelR // Regulation of melRp by DNA-binding transcriptional dual regulator MelR
ArcA-Pasp54 DNA-binding-site regulating fumAp		Regulation of fumAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
Nac DNA-binding-site regulating eptA	4335382	Regulation of eptA by DNA-binding transcriptional dual regulator Nac
Lrp DNA-binding-site 235 bases downstream of fimAp	4542928	Regulation of fimAp by DNA-binding transcriptional dual regulator Lrp
GlrR-Pasp56 DNA-binding-site 188.5 bases upstream of glmYp1	2691528.5	Regulation of glmYp1 by DNA-binding transcriptional activator GlrR-phosphorylated
NikR DNA-binding-site 12.5 bases upstream of nikAp1	3613615.5	Regulation of nikAp1 by DNA-binding transcriptional repressor NikR-Ni2+
ArcA-Pasp54 DNA-binding-site 16 bases downstream of icdAp1	1195023	Regulation of icdAp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated
DnaA-ATP DNA-binding-site 14 bases upstream of nrdAp	2344741	Regulation of nrdAp by DnaA-ATP
MetR-L-homocysteine DNA-binding-site 16 bases downstream of metRp2	4012822	Regulation of metRp2 by MetR-L-homocysteine // Regulation of metRp1 by MetR-L-homocysteine // Regulation of metEp by MetR-L-homocysteine
NsrR DNA-binding-site 61 bases upstream of mepHp	1734296	Regulation of mepHp by DNA-binding transcriptional dual regulator NsrR
NarL-Pasp59 DNA-binding-site 69 bases downstream of focAp3	954746	Regulation of focAp3 by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of focAp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated
Lrp-leu DNA-binding-site 44.5 bases upstream of argOp	3068880.5	Regulation of argOp by DNA-binding transcriptional dual regulator Lrp-L-leucine
Nac DNA-binding-site regulating ymjA	1357705	Regulation of ymjA by DNA-binding transcriptional dual regulator Nac
Fis DNA-binding-site 113 bases upstream of aldBp	3756648	Regulation of aldBp by DNA-binding transcriptional dual regulator Fis
GlpR DNA-binding-site 113.5 bases upstream of glpTQp	2352564.5	Regulation of glpTQp by DNA-binding transcriptional repressor GlpR // Regulation of glpAp by DNA-binding transcriptional repressor GlpR
ArcA-Pasp54 DNA-binding-site 179 bases upstream of cadBp	4360285	Regulation of cadBp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
NarL-Pasp59 DNA-binding-site 14 bases upstream of ynfEp2	1657989	Regulation of ynfEp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of ynfEp by DNA-binding transcriptional dual regulator NarL-phosphorylated
NarL-Pasp59 DNA-binding-site 302 bases downstream of focAp3	954513	Regulation of focAp3 by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of focAp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated
NarP-Pasp59 DNA-binding-site 69 bases upstream of norVp	2832370	Regulation of norVp by DNA-binding transcriptional dual regulator NarP-phosphorylated
ArsR DNA-binding-site 41.5 bases upstream of arsRp	3648470.5	Regulation of arsRp by DNA-binding transcriptional repressor ArsR
GalS-galactose DNA-binding-site 107.5 bases upstream of galPp	3088147.5	Regulation of galPp by GalS-D-galactose
Rob DNA-binding-site 40.5 bases upstream of tolCp3	3178021.5	Regulation of tolCp3 by DNA-binding transcriptional dual regulator Rob // Regulation of tolCp4 by DNA-binding transcriptional dual regulator Rob
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 68.5 bases upstream of csiDp	2788858.5d0	Regulation of csiDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
FlhDC DNA-binding-site 52.5 bases upstream of fliAp1	2001871.5	Regulation of fliAp1 by FlhDC DNA-binding transcriptional dual regulator
Lrp DNA-binding-site regulating sdaAp		Regulation of sdaAp by DNA-binding transcriptional dual regulator Lrp
GlaR DNA-binding-site 32 bases upstream of csiDp	2788895	Regulation of csiDp by DNA-binding transcriptional repressor GlaR
GlaR DNA-binding-site regulating pdeG	1217385	Regulation of pdeG by DNA-binding transcriptional repressor GlaR
Fnr DNA-binding-site 162.5 bases upstream of dppAp	3708032.5d0	Regulation of dppAp by DNA-binding transcriptional dual regulator FNR
RacR DNA-binding-site regulating ydaSTUVW-rzpR (BS0-8728)	1420302	Regulation of ydaSTUVW-rzpR by Rac prophage; DNA-binding transcriptional repressor RacR
SoxS DNA-binding-site 26 bases upstream of yrbLp	3348395	Regulation of yrbLp by DNA-binding transcriptional dual regulator SoxS
ArgP DNA-binding-site 163.5 bases upstream of nrdAp	2344591.5	Regulation of nrdAp by DNA-binding transcriptional dual regulator ArgP
DNA-binding transcriptional repressor IclR DNA-binding-site 104 bases upstream of aceBp	4215298	Regulation of aceBp by IclR-pyruvate DNA-binding transcriptional repressor
Fnr DNA-binding-site 11.5 bases downstream of gadAp2	3667596.5	Regulation of gadAp2 by DNA-binding transcriptional dual regulator FNR // Regulation of gadAp by DNA-binding transcriptional dual regulator FNR
OxyR DNA-binding-site 55 bases upstream of hemHp	497976	Regulation of hemHp by DNA-binding transcriptional dual regulator OxyR
DeoR DNA-binding-site 7.5 bases upstream of tsxp1	432252.5d0	Regulation of tsxp1 by DNA-binding transcriptional repressor DeoR
RacR DNA-binding-site regulating ydaSTUVW-rzpR (BS0-8732)	1420220.5	Regulation of ydaSTUVW-rzpR by Rac prophage; DNA-binding transcriptional repressor RacR
DNA-binding transcriptional repressor Zur DNA-binding-site 38 bases downstream of znuAp	1942624	Regulation of znuAp by Zur-Zn2+ DNA-binding transcriptional repressor // Regulation of znuCp by Zur-Zn2+ DNA-binding transcriptional repressor
AppY DNA-binding-site regulating appCp2		Regulation of appCp2 by DLP12 prophage; DNA-binding transcriptional activator AppY // Regulation of appCp by DLP12 prophage; DNA-binding transcriptional activator AppY
MalT-maltotriose-ATP DNA-binding-site 64.5 bases upstream of malKp	4246671.5	Regulation of malKp by DNA-binding transcriptional activator MalT-maltotriose-ATP // Regulation of malEp by DNA-binding transcriptional activator MalT-maltotriose-ATP
