Gene ID (EcoCyc),Gene name,Enzyme encoded,Pathways,Pathways parent,Protein products,Reactions
EG11558,caiC,CAIC-MONOMER,CARNMET-PWY,"['ANAEROBIC-RESPIRATION', 'CARN-DEG']",CAIC-MONOMER,['LCARNCOALIG-RXN']
EG11557,caiD,CARNRACE-MONOMER,CARNMET-PWY,"['ANAEROBIC-RESPIRATION', 'CARN-DEG']",CARNRACE-MONOMER,['CARNDETRU-RXN']
EG11561,caiT,CPLX0-7906,CARNMET-PWY,"['ANAEROBIC-RESPIRATION', 'CARN-DEG']",CAIT-MONOMER,['TRANS-RXN-100']
EG10134,carA,CARBPSYN-CPLX,"['GLUTAMINDEG-PWY', 'AMMASSIM-PWY', 'PWY-5686', 'ARGSYN-PWY']","['GLUTAMINE-DEG', 'Ammonia-Assimilation', 'UMP-Biosynthesis', 'ARGININE-SYN', 'Super-Pathways']",CARBPSYN-SMALL,"['CARBPSYN-RXN', 'GLUTAMIN-RXN', 'RXN-22735', 'RXN-16909', 'RXN-22736', 'RXN-14196']"
EG10135,carB,CARBPSYN-CPLX,"['GLUTAMINDEG-PWY', 'AMMASSIM-PWY', 'PWY-5686', 'ARGSYN-PWY']","['GLUTAMINE-DEG', 'Ammonia-Assimilation', 'UMP-Biosynthesis', 'ARGININE-SYN', 'Super-Pathways']",CARBPSYN-LARGE,"['CARBPSYN-RXN', 'GLUTAMIN-RXN', 'RXN-22735', 'RXN-16909', 'RXN-22736', 'RXN-14196']"
EG12059,ccmA,CPLX-9493,PWY-8147,"['Cytochrome-C-Biogenesis', 'Protein-Modification']",CCMA-MONOMER,['RXN-21408']
EG12058,ccmB,CPLX-9493,PWY-8147,"['Cytochrome-C-Biogenesis', 'Protein-Modification']",CCMB-MONOMER,['RXN-21408']
EG12057,ccmC,ABC-35-CPLX,PWY-8147,"['Cytochrome-C-Biogenesis', 'Protein-Modification']",CCMC-MONOMER,['RXN-21407']
EG12169,ccmD,ABC-35-CPLX,PWY-8147,"['Cytochrome-C-Biogenesis', 'Protein-Modification']",EG12169-MONOMER,['RXN-21407']
EG12055,ccmE,ABC-35-CPLX,PWY-8147,"['Cytochrome-C-Biogenesis', 'Protein-Modification']",CCME-MONOMER,['RXN-21407']
EG12054,ccmF,EG12054-MONOMER,PWY-8147,"['Cytochrome-C-Biogenesis', 'Protein-Modification']",EG12054-MONOMER,"['RXN-21423', 'RXN0-7454']"
EG12053,ccmG,EG12053-MONOMER,PWY-8147,"['Cytochrome-C-Biogenesis', 'Protein-Modification']",EG12053-MONOMER,"['RXN-21421', 'RXN-21424', 'RXN-21425']"
EG12052,ccmH,EG12052-MONOMER,PWY-8147,"['Cytochrome-C-Biogenesis', 'Protein-Modification']",EG12052-MONOMER,['RXN-21422']
EG10137,cdd,CYTIDEAM-CPLX,"['PWY0-1295', 'PWY0-163', 'PWY-6556', 'PWY-7193', 'PWY0-181', 'PWY-7181']","['Pyrimidine-Ribonucleosides-Degradation', 'Pyrimidine-Nucleotide-Salvage', 'Pyrimidine-Nucleotide-Salvage', 'Pyrimidine-Ribonucleosides-Degradation', 'Pyrimidine-Nucleotide-Salvage', 'Pyrimidine-Nucleotide-Salvage', 'Pyrimidine-Deoxyribonucleosides-Deg']",CYTIDEAM-MONOMER,"['CYTIDEAM2-RXN', 'CYTIDEAM-RXN']"
EG10138,cdh,CDPDIGLYPYPHOSPHA-MONOMER,,,CDPDIGLYPYPHOSPHA-MONOMER,['CDPDIGLYPYPHOSPHA-RXN']
EG10139,cdsA,CDPDIGLYSYN-MONOMER,"['PWY0-1319', 'PWY-5667']","['CDP-diacylglycerol-Biosynthesis', 'CDP-diacylglycerol-Biosynthesis']",CDPDIGLYSYN-MONOMER,"['CDPDIGLYSYN-RXN', 'RXN0-5515']"
EG11531,cfa,CFA-CPLX,PWY0-541,Cyclopropane-fatty-acid-biosyn,CFA-MONOMER,['2.1.1.79-RXN']
EG11753,chaA,CHAA-MONOMER,,,CHAA-MONOMER,"['TRANS-RXN-42', 'TRANS-RXN-101']"
EG10142,chbA,CPLX-155,,,CELC-MONOMER,"['TRANS-RXN-155B', 'TRANS-RXN-155']"
EG10140,chbB,CPLX-155,,,CELA-MONOMER,"['TRANS-RXN-155B', 'TRANS-RXN-155']"
EG10141,chbC,CPLX-155,,,CELB-MONOMER,"['TRANS-RXN-155B', 'TRANS-RXN-155']"
EG10144,chbF,CPLX0-7979,PWY0-1309,Carbohydrates-Degradation,EG10144-MONOMER,"['RXN0-7392', '6-PHOSPHO-BETA-GLUCOSIDASE-RXN']"
G6339,citG,G6339-MONOMER,P2-PWY,Carriers-Biosynthesis,G6339-MONOMER,['2.7.8.25-RXN']
G6338,citT,B0612-MONOMER,,,B0612-MONOMER,['TRANS-RXN0-201']
G6340,citX,G6340-MONOMER,P2-PWY,Carriers-Biosynthesis,G6340-MONOMER,['2.7.7.61-RXN']
G6850,clcB,YNFJ-MONOMER,,,YNFJ-MONOMER,['RXN0-2501']
EG11608,clsA,CARDIOLIPSYN-MONOMER,PWY-5668,Cardiolipin-Biosynthesis,CARDIOLIPSYN-MONOMER,['CARDIOLIPSYN-RXN']
G6406,clsB,G6406-MONOMER,PWY-5668,Cardiolipin-Biosynthesis,G6406-MONOMER,"['CARDIOLIPSYN-RXN', 'RXN0-7272']"
EG11265,cmk,CMPKI-MONOMER,"['PWY0-163', 'PWY-7205', 'PWY-7197']","['Pyrimidine-Nucleotide-Salvage', 'Pyrimidine-Nucleotide-Salvage', 'Metabolic-Clusters', 'Pyrimidine-Nucleotide-Salvage']",CMPKI-MONOMER,"['RXN-11832', 'RXN-7913']"
EG10922,coaA,PANTOTHENATE-KIN-CPLX,PANTO-PWY,Pantothenate-Biosynthesis,PANTOTHENATE-KIN-MONOMER,"['PANTOTHENATE-KIN-RXN', 'PANTETHEINE-KINASE-RXN']"
EG11190,coaD,COADTRI-CPLX,COA-PWY,CoA-Biosynthesis,PANTEPADENYLYLTRAN-MONOMER,['PANTEPADENYLYLTRAN-RXN']
G6349,cobC,RIBAZOLEPHOSPHAT-MONOMER,"['PWY-5509', 'COBALSYN-PWY']","['Adenosylcobamide-Biosynthesis', 'B12-Salvage-From-Cobinamide', 'Super-Pathways']",RIBAZOLEPHOSPHAT-MONOMER,"['RXN-8770', 'RXN-16788']"
EG11326,codA,CPLX0-7932,"['PWY0-163', 'PWY-7195', 'PWY-7194']","['Pyrimidine-Nucleotide-Salvage', 'Pyrimidine-Nucleotide-Salvage', 'Pyrimidine-Ribonucleosides-Degradation', 'Pyrimidine-Nucleotide-Salvage', 'Super-Pathways']",CYTDEAM-MONOMER,"['CYTDEAM-RXN', 'RXN0-6708']"
EG11327,codB,CODB-MONOMER,,,CODB-MONOMER,['TRANS-RXN-116']
G6246,cof,G6246-MONOMER,,,G6246-MONOMER,"['RXN0-3543', '3.1.3.74-RXN']"
G6260,copA,G6260-MONOMER,,,"['MONOMER0-4382', 'G6260-MONOMER']",['RXN-14455']
EG11463,corA,CORA-MONOMER,,,CORA-MONOMER,"['TRANS-RXN-141B', 'TRANS-RXN-141A', 'TRANS-RXN-141']"
G7579,cpdA,G7579-MONOMER,,,G7579-MONOMER,['RXN0-5038']
EG10160,cpdB,CPDB-MONOMER,,,CPDB-MONOMER,"['CYCPHOSDIESTER-RXN', '3-NUCLEOTID-RXN', 'RXN-14115', 'RXN-14126', 'RXN-14124', 'RXN-14090', 'RXN-14113', 'RXN-14112', 'RXN-14091', 'RXN-14064']"
EG10161,cpsB,MANNPGUANYLTRANGDP-MONOMER,PWY-5659,GDP-Sugar-Biosynthesis,MANNPGUANYLTRANGDP-MONOMER,['2.7.7.13-RXN']
EG10162,cpsG,PHOSMANMUT-MONOMER,PWY-5659,GDP-Sugar-Biosynthesis,PHOSMANMUT-MONOMER,['PHOSMANMUT-RXN']
EG10165,crr,"['CPLX0-7', 'CPLX-168', 'CPLX-157']",GLYCOLYSIS,GLYCOLYSIS-VARIANTS,CRR-MONOMER,"['RXN0-17', 'TRANS-RXN-168', 'TRANS-RXN-157', 'TRANS-RXN0-583']"
G7454,csdA,CPLX0-7838,,,G7454-MONOMER,"['RXN0-279', 'RXN-22695']"
G6760,curA,CPLX0-7927,PWY0-1527,SECONDARY-METABOLITE-DEGRADATION,G6760-MONOMER,"['RXN0-6677', 'RXN0-6676']"
G6322,cusB,CPLX0-1721,,,G6322-MONOMER,"['TRANS-RXN0-280', 'TRANS-RXN-90']"
G6320,cusC,CPLX0-1721,,,G6320-MONOMER,"['TRANS-RXN0-280', 'TRANS-RXN-90']"
G6321,cusF,CPLX0-1721,,,G6321-MONOMER,"['TRANS-RXN0-280', 'TRANS-RXN-90']"
EG10170,cyaA,ADENYLATECYC-MONOMER,,,ADENYLATECYC-MONOMER,['ADENYLATECYC-RXN']
EG10172,cybB,CYTOCHROME-B561-MONOMER,,,CYTOCHROME-B561-MONOMER,['RXN-20148']
EG12504,cycA,CYCA-MONOMER,,,CYCA-MONOMER,"['TRANS-RXN-62A', 'RXN0-5130', 'TRANS-RXN-62B', 'RXN0-5202', 'RXN0-5201', 'RXN0-5203']"
EG10173,cydA,CYT-D-UBIOX-CPLX,"['PWY0-1353', 'PWY0-1568', 'PWY-7545', 'PWY0-1334']","['AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer']",CYDA-MONOMER,"['RXN0-5266', 'RXN-19778', 'RXN-19777']"
EG10174,cydB,CYT-D-UBIOX-CPLX,"['PWY0-1353', 'PWY0-1568', 'PWY-7545', 'PWY0-1334']","['AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer']",CYDB-MONOMER,"['RXN0-5266', 'RXN-19778', 'RXN-19777']"
EG10012,cydC,ABC-6-CPLX,,,CYDC-MONOMER,"['TRANS-RXN-1540', 'RXN0-21', 'RXN0-3']"
EG11405,cydD,ABC-6-CPLX,,,CYDD-MONOMER,"['TRANS-RXN-1540', 'RXN0-21', 'RXN0-3']"
EG10175,cynS,CYANLY-CPLX,CYANCAT-PWY,"['Detoxification', 'NITROGEN-DEG']",CYANLY-MONOMER,['R524-RXN']
EG10176,cynT,CARBODEHYDRAT-CPLX,CYANCAT-PWY,"['Detoxification', 'NITROGEN-DEG']",CARBODEHYDRAT-MONOMER,['RXN0-5224']
EG10177,cynX,CYNX-MONOMER,,,CYNX-MONOMER,['TRANS-RXN-14']
EG10178,cyoA,CYT-O-UBIOX-CPLX,"['PWY0-1544', 'PWY0-1567', 'PWY0-1335', 'PWY0-1561', 'PWY0-1565', 'PWY-7544', 'PWY0-1329']","['AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer']",CYOA-MONOMER,['RXN0-5268']
EG10179,cyoB,CYT-O-UBIOX-CPLX,"['PWY0-1544', 'PWY0-1567', 'PWY0-1335', 'PWY0-1561', 'PWY0-1565', 'PWY-7544', 'PWY0-1329']","['AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer']",CYOB-MONOMER,['RXN0-5268']
EG10180,cyoC,CYT-O-UBIOX-CPLX,"['PWY0-1544', 'PWY0-1567', 'PWY0-1335', 'PWY0-1561', 'PWY0-1565', 'PWY-7544', 'PWY0-1329']","['AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer']",CYOC-MONOMER,['RXN0-5268']
EG10181,cyoD,CYT-O-UBIOX-CPLX,"['PWY0-1544', 'PWY0-1567', 'PWY0-1335', 'PWY0-1561', 'PWY0-1565', 'PWY-7544', 'PWY0-1329']","['AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer', 'AEROBIC-RESPIRATION', 'Electron-Transfer']",CYOD-MONOMER,['RXN0-5268']
EG10182,cyoE,HEMEOSYN-MONOMER,,,HEMEOSYN-MONOMER,['HEMEOSYN-RXN']
EG10183,cysA,"['ABC-7-CPLX', 'ABC-70-CPLX']",PWY-8171,Molybdenum-Cofactor-Biosynthesis,CYSA-MONOMER,"['ABC-70-RXN', 'ABC-7-RXN', 'TRANS-RXN0-478', 'TRANS-RXN0-479', 'ABC-19-RXN']"
EG10185,cysC,ADENYLYLSULFKIN-CPLX,PWY-5340,"['Activation', 'Sulfur-Metabolism']",ADENYLYLSULFKIN-MONOMER,['ADENYLYLSULFKIN-RXN']
EG10186,cysD,SULFATE-ADENYLYLTRANS-CPLX,PWY-5340,"['Activation', 'Sulfur-Metabolism']",CYSD-MONOMER,['SULFATE-ADENYLYLTRANS-RXN']
EG10187,cysE,CPLX0-237,"['CYSTSYN-PWY', 'PWY-7870']","['CYSTEINE-SYN', 'CYSTEINE-SYN']",SERINE-O-ACETTRAN-MONOMER,['SERINE-O-ACETTRAN-RXN']
EG10188,cysG,SIROHEMESYN-CPLX,PWY-5194,Porphyrin-Compounds-Biosynthesis,SIROHEMESYN-MONOMER,"['RXN-13403', 'RXN-8675', 'UROPORIIIMETHYLTRANSA-RXN', 'DIMETHUROPORDEHYDROG-RXN', 'SIROHEME-FERROCHELAT-RXN']"
EG10189,cysH,PAPSSULFOTRANS-CPLX,SO4ASSIM-PWY,"['Assimilatory-Sulfate-Reduction', 'Super-Pathways']",PAPSSULFOTRANS-MONOMER,['1.8.4.8-RXN']
EG10190,cysI,SULFITE-REDUCT-CPLX,SO4ASSIM-PWY,"['Assimilatory-Sulfate-Reduction', 'Super-Pathways']",BETACOMP-MONOMER,['SULFITE-REDUCT-RXN']
EG10191,cysJ,"['SULFITE-REDUCT-CPLX', 'CPLX0-7841']",SO4ASSIM-PWY,"['Assimilatory-Sulfate-Reduction', 'Super-Pathways']",ALPHACOMP-MONOMER,"['SULFITE-REDUCT-RXN', 'NADPH-DEHYDROGENASE-FLAVIN-RXN']"
EG10192,cysK,ACSERLYA-CPLX,"['CYSTSYN-PWY', 'LCYSDEG-PWY']","['CYSTEINE-SYN', 'CYSTEINE-DEG']",ACSERLYA-MONOMER,"['ACSERLY-RXN', 'LCYSDESULF-RXN', 'RXN-15129']"
EG10193,cysM,ACSERLYB-CPLX,"['CYSTSYN-PWY', 'PWY-7870', 'LCYSDEG-PWY']","['CYSTEINE-SYN', 'CYSTEINE-SYN', 'CYSTEINE-DEG']",ACSERLYB-MONOMER,"['ACSERLY-RXN', 'SULFOCYS-RXN', 'LCYSDESULF-RXN', 'RXN-15129']"
EG10194,cysN,SULFATE-ADENYLYLTRANS-CPLX,PWY-5340,"['Activation', 'Sulfur-Metabolism']",CYSN-MONOMER,['SULFATE-ADENYLYLTRANS-RXN']
EG10195,cysP,ABC-7-CPLX,PWY-8171,Molybdenum-Cofactor-Biosynthesis,CYSP-MONOMER,"['ABC-7-RXN', 'ABC-70-RXN', 'TRANS-RXN0-478', 'TRANS-RXN0-479', 'ABC-19-RXN']"
EG10043,cysQ,EG10043-MONOMER,,,EG10043-MONOMER,['325-BISPHOSPHATE-NUCLEOTIDASE-RXN']
EG10197,cysU,"['ABC-7-CPLX', 'ABC-70-CPLX']",PWY-8171,Molybdenum-Cofactor-Biosynthesis,CYST-MONOMER,"['ABC-70-RXN', 'ABC-7-RXN', 'TRANS-RXN0-478', 'TRANS-RXN0-479', 'ABC-19-RXN']"
EG10198,cysW,"['ABC-7-CPLX', 'ABC-70-CPLX']",PWY-8171,Molybdenum-Cofactor-Biosynthesis,CYSW-MONOMER,"['ABC-70-RXN', 'ABC-7-RXN', 'TRANS-RXN0-478', 'TRANS-RXN0-479', 'ABC-19-RXN']"
EG10201,dacA,CPLX0-8252,PWY0-1586,Peptidoglycan-Biosynthesis,EG10201-MONOMER,"['RXN-16649', 'BETA-LACTAMASE-RXN', '3.4.17.8-RXN', 'RXN-19249', 'RXN-19253']"
EG10202,dacB,CPLX0-8545,PWY0-1586,Peptidoglycan-Biosynthesis,EG10202-MONOMER,"['RXN-16649', 'RXN0-3461']"
EG10203,dacC,CPLX0-8254,PWY0-1586,Peptidoglycan-Biosynthesis,EG10203-MONOMER,"['RXN-16649', 'RXN-19249', '3.4.17.8-RXN', 'RXN-19256']"
EG11893,dacD,RPOA-MONOMER,PWY0-1586,Peptidoglycan-Biosynthesis,RPOA-MONOMER,"['RXN-16649', 'BETA-LACTAMASE-RXN', 'RXN-19249', 'RXN-19253']"
EG11407,dadA,DALADEHYDROG-CPLX,ALADEG-PWY,ALANINE-DEG,DALADEHYDROGA-MONOMER,"['RXN-11193', 'DALADEHYDROG-RXN']"
EG11408,dadX,CPLX0-7465,"['ALADEG-PWY', 'PWY-8072']","['ALANINE-DEG', 'Other-Amino-Acid-Biosynthesis']",ALARACECAT-MONOMER,['ALARACECAT-RXN']
EG10205,dapA,DIHYDRODIPICSYN-CPLX,DAPLYSINESYN-PWY,LYSINE-SYN,DIHYDRODIPICSYN-MONOMER,['DIHYDRODIPICSYN-RXN']
EG10206,dapB,DIHYDROPICRED-CPLX,DAPLYSINESYN-PWY,LYSINE-SYN,DIHYDROPICRED-MONOMER,['RXN-14014']
EG10207,dapD,CPLX0-3181,DAPLYSINESYN-PWY,LYSINE-SYN,MONOMER0-2001,['TETHYDPICSUCC-RXN']
EG10208,dapE,CPLX0-3161,DAPLYSINESYN-PWY,LYSINE-SYN,MONOMER0-1981,['SUCCDIAMINOPIMDESUCC-RXN']
EG10209,dapF,CPLX0-7997,DAPLYSINESYN-PWY,LYSINE-SYN,DIAMINOPIMEPIM-MONOMER,['DIAMINOPIMEPIM-RXN']
EG11418,dcd,DCTP-DEAM-CPLX,"['PWY0-166', 'PWY-7187']","['Pyrimid-Deoxyribonucleot-De-Novo-Biosyn', 'Super-Pathways', 'Pyrimid-Deoxyribonucleot-De-Novo-Biosyn']",DCTP-DEAM-MONOMER,['DCTP-DEAM-RXN']
EG20044,dctA,DCTA-MONOMER,,,DCTA-MONOMER,"['TRANS-RXN0-517', 'TRANS-RXN0-451', 'TRANS-RXN-122A', 'TRANS-RXN-121C', 'TRANS-RXN0-553', 'TRANS-RXN-121A', 'TRANS-RXN-121']"
EG11225,dcuA,DCUA-MONOMER,"['PWY-8291', 'PWY-8294']","['ASPARTATE-DEG', 'ASPARTATE-DEG']",DCUA-MONOMER,"['TRANS-RXN-379', 'TRANS-RXN-106', 'TRANS-RXN-106B', 'TRANS-RXN-106A', 'TRANS-RXN-299']"
EG10006,dcuB,DCUB-MONOMER,PWY-8294,ASPARTATE-DEG,DCUB-MONOMER,"['TRANS-RXN-106', 'TRANS-RXN-106B', 'TRANS-RXN-106A', 'TRANS-RXN-299', 'TRANS-RXN0-499']"
G6347,dcuC,DCUC-MONOMER,,,DCUC-MONOMER,"['TRANS-RXN-300', 'TRANS-RXN-106', 'TRANS-RXN-299']"
G7038,dcyD,DCYSDESULF-CPLX,,,DCYSDESULF-MONOMER,"['DCYSDESULF-RXN', 'RXN-19381', 'ALADEHYDCHLORO-RXN']"
EG10213,ddlA,DALADALALIGA-MONOMER,PWY-6387,Acetylmuramoyl-Pentapeptide-Biosynthesis,DALADALALIGA-MONOMER,['DALADALALIG-RXN']
EG10214,ddlB,DALADALALIGB-CPLX,PWY-6387,Acetylmuramoyl-Pentapeptide-Biosynthesis,DALADALALIGB-MONOMER,['DALADALALIG-RXN']
G6782,ddpX,G6782-MONOMER,,,G6782-MONOMER,['3.4.13.22-RXN']
EG10219,deoA,DEOA-CPLX,"['PWY0-181', 'PWY-7181']","['Pyrimidine-Nucleotide-Salvage', 'Pyrimidine-Deoxyribonucleosides-Deg']",DEOA-MONOMER,"['THYM-PHOSPH-RXN', 'URA-PHOSPH-RXN']"
EG10220,deoB,PPENTOMUT-MONOMER,"['PWY-7180', 'PWY0-1295', 'PWY0-1296']","['Sugar-Derivatives', 'Pyrimidine-Ribonucleosides-Degradation', 'Purine-Degradation']",PPENTOMUT-MONOMER,"['D-PPENTOMUT-RXN', 'PPENTOMUT-RXN']"
EG10221,deoC,DEOXYRIBOSE-P-ALD-MONOMER,PWY-7180,Sugar-Derivatives,DEOXYRIBOSE-P-ALD-MONOMER,['DEOXYRIBOSE-P-ALD-RXN']
EG10222,deoD,DEOD-CPLX,"['SALVPURINE2-PWY', 'PWY-6620', 'PWY-6608', 'SALVADEHYPOX-PWY', 'PWY-6609', 'PWY-6611', 'PWY0-1296', 'PWY-7179']","['Purine-Nucleotides-Salvage', 'Guanine-Guanosine-Salvage', 'Guanosine-Nucleotides-Degradation', 'Adenosine-Nucleotides-Degradation', 'Adenine-Adenosine-Salvage', 'Adenine-Adenosine-Salvage', 'Purine-Degradation', 'Purine-Degradation']",DEOD-MONOMER,"['RXN0-5199', 'XANTHOSINEPHOSPHORY-RXN', 'PNP-RXN', 'DEOXYGUANPHOSPHOR-RXN', 'INOPHOSPHOR-RXN', 'DEOXYINOPHOSPHOR-RXN', 'ADENPHOSPHOR-RXN', 'DEOXYADENPHOSPHOR-RXN']"
EG10004,dfp,CPLX0-341,COA-PWY,CoA-Biosynthesis,EG10004-MONOMER,"['P-PANTOCYSLIG-RXN', 'RXN-22914', 'RXN-22915', 'P-PANTOCYSDECARB-RXN']"
G6980,dgcP,G6980-MONOMER,,,G6980-MONOMER,['RXN0-5359']
EG10224,dgkA,DIACYLGLYKIN-CPLX,,,DIACYLGLYKIN-MONOMER,['DIACYLGLYKIN-RXN']
EG20049,dgoA,DEHYDDEOXPHOSGALACT-ALDOL-MONOMER,GALACTCAT-PWY,Aldonate-Degradation,DEHYDDEOXPHOSGALACT-ALDOL-MONOMER,['DEHYDDEOXPHOSGALACT-ALDOL-RXN']
GB4478,dgoD,GALACTONATE-DEHYDRATASE-MONOMER,GALACTCAT-PWY,Aldonate-Degradation,GALACTONATE-DEHYDRATASE-MONOMER,['GALACTONDEHYDRAT-RXN']
EG20051,dgoK,DEHYDDEOXGALACTKIN-MONOMER,GALACTCAT-PWY,Aldonate-Degradation,DEHYDDEOXGALACTKIN-MONOMER,['DEHYDDEOXGALACTKIN-RXN']
EG20053,dgoT,YIDT-MONOMER,,,YIDT-MONOMER,['TRANS-RXN-16']
EG10225,dgt,DGTPTRIPHYDRO-CPLX,,,DGTPTRIPHYDRO-MONOMER,['DGTPTRIPHYDRO-RXN']
G6627,dhaK,CPLX0-2081,GLYCEROLMETAB-PWY,GLYCEROL-DEG,G6627-MONOMER,"['2.7.1.121-RXN', 'RXN-21080', 'RXN0-7169']"
G6626,dhaL,CPLX0-2081,GLYCEROLMETAB-PWY,GLYCEROL-DEG,MONOMER0-1261,"['2.7.1.121-RXN', 'RXN-21080', 'RXN0-7169']"
G7565,dkgA,MONOMER0-148,"['PWY-5453', 'KETOGLUCONMET-PWY']","['Methylglyoxal-Detoxification', 'Aldonate-Degradation', 'Super-Pathways']",MONOMER0-148,"['RXN0-4281', 'RXN0-7119', 'RXN0-1941', 'RXN0-7020']"
EG11648,dkgB,MONOMER0-149,"['PWY-5453', 'KETOGLUCONMET-PWY']","['Methylglyoxal-Detoxification', 'Aldonate-Degradation', 'Super-Pathways']",MONOMER0-149,"['RXN0-4281', 'RXN0-5141', 'RXN0-7020']"
EG10231,dld,DLACTDEHYDROGFAD-MONOMER,"['PWY-5386', 'PWY0-1565']","['Methylglyoxal-Detoxification', 'AEROBIC-RESPIRATION', 'Electron-Transfer']",DLACTDEHYDROGFAD-MONOMER,['DLACTDEHYDROGFAD-RXN']
G6986,dmlA,G6986-MONOMER,"['PWY0-1465', 'LEUSYN-PWY']","['CARBOXYLATES-DEG', 'LEUCINE-SYN']",G6986-MONOMER,"['1.1.1.83-RXN', 'RXN-23715', 'OXALODECARB-RXN', 'RXN-13158', '3-ISOPROPYLMALDEHYDROG-RXN', 'TARTRATE-DEHYDROGENASE-RXN']"
EG10232,dmsA,DIMESULFREDUCT-CPLX,"['PWY0-1348', 'PWY0-1356', 'PWY0-1577']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer']",DMSA-MONOMER,['DIMESULFREDUCT-RXN']
EG10233,dmsB,DIMESULFREDUCT-CPLX,"['PWY0-1348', 'PWY0-1356', 'PWY0-1577']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer']",DMSB-MONOMER,['DIMESULFREDUCT-RXN']
EG10234,dmsC,DIMESULFREDUCT-CPLX,"['PWY0-1348', 'PWY0-1356', 'PWY0-1577']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer']",DMSC-MONOMER,['DIMESULFREDUCT-RXN']
G6784,dosC,CPLX0-8218,,,G6784-MONOMER,['RXN0-5359']
G6783,dosP,CPLX0-8199,,,G6783-MONOMER,['RXN0-4181']
EG10248,dppA,ABC-8-CPLX,,,DPPA-MONOMER,['ABC-8-RXN']
EG12625,dppB,ABC-8-CPLX,,,DPPB-MONOMER,['ABC-8-RXN']
EG12626,dppC,ABC-8-CPLX,,,DPPC-MONOMER,['ABC-8-RXN']
EG12627,dppD,ABC-8-CPLX,,,DPPD-MONOMER,['ABC-8-RXN']
EG12628,dppF,ABC-8-CPLX,,,DPPF-MONOMER,['ABC-8-RXN']
EG10249,dsdA,DSERDEAM-MONOMER,PWY0-1535,D-Amino-Acid-Degradation,DSERDEAM-MONOMER,"['DSERDEAM-RXN', 'RXN-15581']"
EG10250,dsdX,DSDX-MONOMER,,,DSDX-MONOMER,['TRANS-RXN0-495']
G6877,dtpA,B1634-MONOMER,,,B1634-MONOMER,"['TRANS-RXN0-267', 'TRANS-RXN0-288']"
EG12232,dtpB,YHIP-MONOMER,,,YHIP-MONOMER,"['TRANS-RXN0-267', 'TRANS-RXN0-288']"
EG12469,dtpC,YJDL-MONOMER,,,YJDL-MONOMER,"['TRANS-RXN0-267', 'TRANS-RXN0-288']"
G6378,dtpD,B0709-MONOMER,,,B0709-MONOMER,['TRANS-RXN0-288']
