Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization	Object ID
aegA	b2468	2583546	2585525	putative oxidoreductase AegA	PARTIAL	EG12409
cspI	b1552	1638455	1638667	Qin prophage; cold shock-like protein CspI	PARTIAL	G6825
ampC	b4150	4377811	4378944	&beta;-lactamase	WELL-CHARACTERIZED	EG10040
yqgB	b2939	3085920	3086051	acid stress response protein YqgB	PARTIAL	G7521
cas2	b2754	2878569	2878853	CRISPR-associated endoribonuclease Cas2	WELL-CHARACTERIZED	EG12845
yegX	b2102	2182833	2183651	putative glycosyl hydrolase YegX	PARTIAL	G7134
fdnG	b1474	1547401	1550448	formate dehydrogenase N subunit &alpha;	WELL-CHARACTERIZED	EG11227
ykgG	b0308	323758	324453	DUF162 domain-containing lactate utilization protein YkgG	PARTIAL	G6178
iap	b2753	2876581	2877618	alkaline phosphatase isozyme conversion protein	WELL-CHARACTERIZED	EG10488
ubiA	b4040	4253016	4253888	4-hydroxybenzoate octaprenyltransferase	WELL-CHARACTERIZED	EG11370
rzpD	b0556	578107	578568	DLP12 prophage; putative prophage endopeptidase RzpD	PARTIAL	G6311
bcp	b2480	2600478	2600948	thiol peroxidase	WELL-CHARACTERIZED	EG10108
sdaA	b1814	1896932	1898296	L-serine deaminase I	WELL-CHARACTERIZED	EG10930
cmoB	b1871	1953442	1954413	tRNA U34 carboxymethyltransferase	WELL-CHARACTERIZED	G7021
mdtJ	b1600	1673136	1673501	multidrug/spermidine efflux pump membrane subunit MdtJ	WELL-CHARACTERIZED	G6858
yghQ	b2983	3131341	3132408	putative transport protein YghQ	PARTIAL	G7549
yedN	b4495	2011223	2012351	putative type III secreted effector, N-terminal fragment		G7043
cysK	b2414	2532409	2533380	cysteine synthase A	WELL-CHARACTERIZED	EG10192
cpdB	b4213	4434622	4436565	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase	WELL-CHARACTERIZED	EG10160
aslA	b3801	3984352	3986007	putative sulfatase AslA	PARTIAL	EG10089
focB	b2492	2613934	2614782	formate channel FocB	WELL-CHARACTERIZED	G7309
dmlR	b1799	1880886	1881809	DNA-binding transcriptional regulator DmlR	WELL-CHARACTERIZED	G6985
idnK	b4268	4494623	4495186	D-gluconate kinase, thermosensitive	WELL-CHARACTERIZED	EG12152
tyrS	b1637	1715948	1717222	tyrosine&mdash;tRNA ligase	WELL-CHARACTERIZED	EG11043
ygeL	b2856	2994937	2995092	protein YgeL		G7476
yeaO	b1792	1876909	1877256	DUF488 domain-containing protein YeaO	UNCHARACTERIZED	G6978
ydgU	b4601	1671777	1671860	uncharacterized protein YdgU	UNCHARACTERIZED	G0-10593
cobB	b1120	1179520	1180359	CobB-S // protein-lysine deacetylase/desuccinylase/delipoylase	WELL-CHARACTERIZED	G6577
ymgK	b4738	1212260	1212304	protein YmgK	UNCHARACTERIZED	G0-16733
ygfZ	b2898	3041313	3042293	folate-binding protein YgfZ	PARTIAL	G7511
frlA	b3370	3499910	3501247	fructoselysine/psicoselysine transporter	WELL-CHARACTERIZED	EG12908
bglB	b3721	3902289	3903701	cryptic 6-phospho-&beta;-glucosidase B	PARTIAL	EG10114
mrcA	b3396	3522871	3525423	peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA	WELL-CHARACTERIZED	EG10748
yecA	b1908	1990954	1991619	uncharacterized Fe-binding protein YecA	UNCHARACTERIZED	EG11139
rpmG	b3636	3811250	3811417	50S ribosomal subunit protein L33	WELL-CHARACTERIZED	EG10891
wecE	b3791	3975146	3976276	dTDP-4-dehydro-6-deoxy-D-glucose transaminase	WELL-CHARACTERIZED	EG11456
ycaP	b0906	956762	957454	DUF421 domain-containing protein YcaP	UNCHARACTERIZED	G6469
yidX	b3696	3875438	3876094	putative lipoprotein YidX	UNCHARACTERIZED	EG11719
ychJ	b1233	1288674	1289132	NTF2-like domain-containing protein YchJ	UNCHARACTERIZED	EG12119
argC	b3958	4155001	4156005	N-acetylglutamylphosphate reductase	WELL-CHARACTERIZED	EG10065
ydhF	b1647	1724736	1725632	putative oxidoreductase YdhF	PARTIAL	G6887
yciW	b1287	1348980	1350107	putative peroxidase YciW	PARTIAL	G6640
cysH	b2762	2887578	2888312	phosphoadenosine phosphosulfate reductase	WELL-CHARACTERIZED	EG10189
fkpA	b3347	3476607	3477419	peptidyl-prolyl <i>cis-trans</i> isomerase/OMP chaperone FkpA	WELL-CHARACTERIZED	G7716
allR	b0506	533011	533826	DNA-binding transcriptional repressor AllR	WELL-CHARACTERIZED	G6276
gltT	b3969	4168372	4168447	tRNA-Glu(UUC)	WELL-CHARACTERIZED	EG30032
uhpA	b3669	3850136	3850726	UhpA-Phosphorylated // DNA-binding transcriptional activator UhpA	WELL-CHARACTERIZED	EG11051
yjhV	b4286	4509804	4510133	KpLE2 phage-like element; putative uncharacterized protein YjhV		G7907
yjiG	b4329	4559539	4560000	Gate family protein YjiG	UNCHARACTERIZED	G7926
elbB	b3209	3349806	3350459	low activity glyoxalase ElbB	WELL-CHARACTERIZED	EG11383
cyuP	b3110	3256679	3258010	L-cysteine importer	WELL-CHARACTERIZED	EG12754
agaC	b3139	3284685	3285488	galactosamine-specific PTS enzyme IIC component	WELL-CHARACTERIZED	EG12770
yfdH	b2351	2468214	2469134	CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase	PARTIAL	G7220
fadI	b2342	2459159	2460469	3-ketoacyl-CoA thiolase FadI	WELL-CHARACTERIZED	G7213
mdtM	b4337	4567287	4568519	multidrug efflux pump / bile salt:H<sup>+</sup> antiporter / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter	WELL-CHARACTERIZED	EG12576
speB	b2937	3082877	3083797	agmatinase	WELL-CHARACTERIZED	EG10960
alr	b4053	4265782	4266861	alanine racemase 1	WELL-CHARACTERIZED	EG10001
dgcN	b2604	2742383	2743609	diguanylate cyclase DgcN	WELL-CHARACTERIZED	EG12880
kefB	b3350	3478802	3480607	K+ : H+ antiporter KefB	WELL-CHARACTERIZED	EG20110
vsr	b1960	2030448	2030918	DNA mismatch endonuclease Vsr	WELL-CHARACTERIZED	EG11068
hyaE	b0976	1036354	1036752	putative HyaA chaperone	PARTIAL	EG10472
caiC	b0037	36271	37824	carnitine&mdash;CoA ligase	WELL-CHARACTERIZED	EG11558
recX	b2698	2822139	2822639	RecA inhibitor RecX	WELL-CHARACTERIZED	EG12080
yidE	b3685	3864612	3866273	putative transport protein YidE	PARTIAL	EG11536
tdh	b3616	3790320	3791345	threonine dehydrogenase	WELL-CHARACTERIZED	EG10993
alaA	b2290	2407561	2408778	glutamate&mdash;pyruvate aminotransferase AlaA	WELL-CHARACTERIZED	G7184
mtr	b3161	3304573	3305817	tryptophan:H<sup>+</sup> symporter Mtr	WELL-CHARACTERIZED	EG10617
argE	b3957	4153696	4154847	acetylornithine deacetylase	WELL-CHARACTERIZED	EG11286
deaD	b3162	3305971	3307860	ATP-dependent RNA helicase DeaD	WELL-CHARACTERIZED	EG10215
thiC	b3994	4194204	4196099	phosphomethylpyrimidine synthase	WELL-CHARACTERIZED	EG11585
paeA	b4218	4439872	4441215	putative cadaverine/putrescine exporter	PARTIAL	G7873
nanY	b4280	4505287	4506405	KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase	WELL-CHARACTERIZED	G7901
erpA	b0156	176610	176954	iron-sulfur cluster insertion protein ErpA	WELL-CHARACTERIZED	EG12332
xdhD	b2881	3021316	3024186	fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit	PARTIAL	G7500
yqgH	b4785	3109317	3109400	protein YqgH	UNCHARACTERIZED	G0-17031
eutB	b2441	2557318	2558679	ethanolamine ammonia-lyase subunit &alpha;	WELL-CHARACTERIZED	EG50006
menB	b2262	2375962	2376819	1,4-dihydroxy-2-naphthoyl-CoA synthase	WELL-CHARACTERIZED	EG11368
phoB	b0399	417142	417831	DNA-binding transcriptional dual regulator PhoB-phosphorylated // DNA-binding transcriptional dual regulator PhoB	WELL-CHARACTERIZED	EG10728
uraA	b2497	2618871	2620160	uracil:H<sup>+</sup> symporter UraA	WELL-CHARACTERIZED	EG12129
ssuA	b0936	995985	996944	aliphatic sulfonate ABC transporter periplasmic binding protein	WELL-CHARACTERIZED	G6478
ydaY	b1366	1425621	1425980	Rac prophage; putative uncharacterized protein YdaY	UNCHARACTERIZED	G6689
yehW	b2128	2215745	2216476	glycine betaine ABC transporter membrane subunit YehW	WELL-CHARACTERIZED	EG12009
sppA	b1766	1848837	1850693	protease IV, a signal peptide peptidase	WELL-CHARACTERIZED	EG10968
yiaA	b3562	3726924	3727361	PF05360 family inner membrane protein YiaA	PARTIAL	EG11186
wbbK	b2032	2103391	2104509	putative glycosyltransferase WbbK	PARTIAL	EG11985
epmC	b2326	2444203	2444751	EF-P-Lys34 hydroxylase	WELL-CHARACTERIZED	G7201
yhdX	b3269	3420134	3421315	putative ABC transporter membrane subunit YhdX	PARTIAL	EG12835
ythB	b4802	4536597	4536695	protein YthB	UNCHARACTERIZED	G0-17048
ndk	b2518	2644433	2644864	nucleoside diphosphate kinase	WELL-CHARACTERIZED	EG10650
ftsN	b3933	4122380	4123339	cell division protein FtsN	PARTIAL	EG11529
glvB	b3682	3861987	3862472	putative PTS enzyme II component GlvB	PARTIAL	EG11709
ydiP	b1696	1778390	1779301	DNA-binding transcriptional regulator YdiP	PARTIAL	G6919
folB	b3058	3204221	3204589	dihydroneopterin aldolase	WELL-CHARACTERIZED	EG11673
xanQ	b2882	3024351	3025751	xanthine:H+ symporter XanQ	WELL-CHARACTERIZED	G7501
mltG	b1097	1154112	1155134	endolytic murein transglycosylase	WELL-CHARACTERIZED	EG11494
rlmB	b4180	4409275	4410006	23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase	WELL-CHARACTERIZED	G7845
hybG	b2990	3139716	3139964	hydrogenase maturation factor HybG	WELL-CHARACTERIZED	EG11805
nrdH	b2673	2800723	2800968	glutaredoxin-like protein NrdH	WELL-CHARACTERIZED	G7401
yjdJ	b4127	4352085	4352357	putative <i>N</i>-acetyltransferase YjdJ	PARTIAL	G7829
pqqU	b1451	1520963	1523065	pyrroloquinoline quinone outer membrane transporter	PARTIAL	G6762
ygdQ	b2832	2970420	2971133	PF03741 family inner membrane protein YgdQ	UNCHARACTERIZED	G7460
fixB	b0042	43188	44129	putative electron transfer flavoprotein FixB	PARTIAL	EG11563
hofM	b3395	3521972	3522751	DNA utilization protein HofM	PARTIAL	G7739
rrsG	b2591	2729616	2731157	16S ribosomal RNA	WELL-CHARACTERIZED	EG30089
fixC	b0043	44180	45466	putative oxidoreductase FixC	PARTIAL	EG11564
feaB	b1385	1447519	1449018	phenylacetaldehyde dehydrogenase	WELL-CHARACTERIZED	G7961
ghrB	b3553	3717310	3718284	glyoxylate reductase	WELL-CHARACTERIZED	EG12272
metQ	b0197	220113	220928	L-methionine/D-methionine ABC transporter membrane anchored binding protein	WELL-CHARACTERIZED	EG11504
trpS	b3384	3512634	3513638	tryptophan&mdash;tRNA ligase	WELL-CHARACTERIZED	EG11030
mdlA	b0448	468871	470643	ABC transporter family protein MdlA	PARTIAL	G6248
allC	b0516	544057	545292	allantoate amidohydrolase	WELL-CHARACTERIZED	G6285
yfaU	b2245	2358042	2358845	2-keto-3-deoxy-L-rhamnonate aldolase	WELL-CHARACTERIZED	G7158
frdD	b4151	4379007	4379366	fumarate reductase membrane protein FrdD	WELL-CHARACTERIZED	EG10333
rpe	b3386	3514382	3515059	ribulose-phosphate 3-epimerase	WELL-CHARACTERIZED	M004
ychO	b1220	1273784	1275178	putative invasin YchO	PARTIAL	EG12405
pppA	b2972	3113543	3114352	prepilin peptidase	PARTIAL	G7539
metJ	b3938	4128078	4128395	DNA-binding transcriptional repressor MetJ	WELL-CHARACTERIZED	EG10588
srlA	b2702	2825832	2826395	sorbitol-specific PTS enzyme IIC<sub>2</sub> component	WELL-CHARACTERIZED	G8210
fruK	b2168	2261427	2262365	1-phosphofructokinase	WELL-CHARACTERIZED	EG10337
yfaL	b2233	2340417	2344169	putative autotransporter adhesin YfaL	PARTIAL	EG12850
ylbI	b4632	529497	529592	RHS element protein YlbI		G0-16713
uvrA	b4058	4271049	4273871	UvrABC excision nuclease subunit A	WELL-CHARACTERIZED	EG11061
fkpB	b0028	25826	26275	peptidyl-prolyl <i>cis-trans</i> isomerase FkpB	WELL-CHARACTERIZED	EG11080
gluQ	b0144	159186	160112	glutamyl-Q tRNA<sup>Asp</sup> synthetase	WELL-CHARACTERIZED	EG11362
leuQ	b4370	4606315	4606401	tRNA-Leu(CAG)	WELL-CHARACTERIZED	EG30048
tmaR	b2007	2079032	2079361	PTS system regulator TmaR	PARTIAL	G7087
yfaZ	b2250	2363733	2364275	putative porin YfaZ	PARTIAL	G7163
ylcG	b4509	573730	573870	DLP12 prophage; uncharacterized protein YlcG	UNCHARACTERIZED	G0-10435
endA	b2945	3090347	3091054	DNA-specific endonuclease I	WELL-CHARACTERIZED	EG11336
insK	b3558	3721198	3722049	IS150 conserved protein InsB	UNCHARACTERIZED	G7777
ygeG	b2851	2991268	2991759	TPR repeat-containing putative chaperone YgeG	PARTIAL	G7471
hldE	b3052	3195320	3196753	fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	WELL-CHARACTERIZED	G7590
efeU	b4490	1081356	1082185	inactive ferrous iron permease EfeU		G6525
prfH	b0236	253702	254202	putative peptide chain release factor		EG11496
glmZ	b4456	3986432	3986603	small regulatory RNA GlmZ	WELL-CHARACTERIZED	G0-8873
gspK	b3332	3462924	3463907	type II secretion system minor pseudopilin GspK	WELL-CHARACTERIZED	G7710
glnG	b3868	4053869	4055278	DNA-binding transcriptional dual regulator NtrC	WELL-CHARACTERIZED	EG10385
ykfG	b0247	264256	264732	CP4-6 prophage; RadC-like JAB domain-containing protein YkfG	PARTIAL	G6122
yhgO	b4788	3573660	3573701	protein YhgO	UNCHARACTERIZED	G0-17034
hdeB	b3509	3655966	3656292	periplasmic acid stress chaperone HdeB	WELL-CHARACTERIZED	EG11399
ompW	b1256	1314020	1314658	outer membrane protein W	PARTIAL	EG11124
citG	b0613	646631	647509	triphosphoribosyl-dephospho-CoA synthase	WELL-CHARACTERIZED	G6339
clsA	b1249	1307185	1308645	cardiolipin synthase A	WELL-CHARACTERIZED	EG11608
ycfK	b1154	1207501	1208130	e14 prophage; protein StfP	UNCHARACTERIZED	EG12877
yiaU	b3585	3751992	3752966	DNA-binding transcriptional activator YiaU	PARTIAL	EG12289
yiaB	b3563	3727407	3727748	PF05360 family inner membrane protein YiaB	UNCHARACTERIZED	EG11267
ynfU	b4776	1640805	1640975	Qin prophage; putative zinc-binding protein YnfU	PARTIAL	G0-17022
ybiB	b0800	835248	836210	nonspecific DNA-binding protein YbiB	PARTIAL	EG11580
ybfE	b0685	711605	711898	ribbon-helix-helix domain-containing protein YbfE	PARTIAL	EG11775
patD	b1444	1515578	1517002	&gamma;-aminobutyraldehyde dehydrogenase	WELL-CHARACTERIZED	G6755
ligB	b3647	3819488	3821170	DNA ligase B	WELL-CHARACTERIZED	EG11334
ymgN	b4816	1227368	1227427	protein YmgN	UNCHARACTERIZED	G0-17091
yihV	b3883	4073739	4074635	6-deoxy-6-sulfofructose kinase	WELL-CHARACTERIZED	EG11848
yceJ	b1057	1118480	1119046	putative cytochrome b561 YceJ	PARTIAL	G6554
eno	b2779	2906643	2907941	enolase	WELL-CHARACTERIZED	EG10258
cheY	b1882	1967048	1967437	CheY-acetylated // CheY-P<sup>asp</sup> // chemotaxis protein CheY	WELL-CHARACTERIZED	EG10150
ybaY	b0453	475379	475951	PF09619 family lipoprotein YbaY	PARTIAL	G6250
glcB	b2976	3121634	3123805	malate synthase G	WELL-CHARACTERIZED	EG20080
nfrB	b0569	590941	593178	cyclic di-3',5'-guanylate-activated glycosyltransferase	WELL-CHARACTERIZED	EG11739
yecJ	b4537	1987507	1987758	DUF2766 domain-containing protein YecJ	UNCHARACTERIZED	G0-10455
yebG	b1848	1930457	1930747	DNA damage-inducible protein YebG	PARTIAL	EG11808
ybdK	b0581	606265	607383	putative glutamate&mdash;cysteine ligase 2	PARTIAL	G6326
smg	b3284	3431991	3432464	DUF494 domain-containing protein Smg	UNCHARACTERIZED	EG11605
b4250	b4250	4474227	4474391			G7881
yjiX	b4353	4588876	4589079	PF04328 family protein YjiX	UNCHARACTERIZED	G7941
dapD	b0166	185123	185947	tetrahydrodipicolinate succinylase	WELL-CHARACTERIZED	EG10207
rfbC	b2038	2109581	2110138	dTDP-4-dehydrorhamnose 3,5-epimerase	WELL-CHARACTERIZED	EG11979
clcB	b1592	1665315	1666571	putative chloride:H<sup>+</sup> antiporter ClcB	WELL-CHARACTERIZED	G6850
puuB	b1301	1364232	1365512	&gamma;-glutamylputrescine oxidase	WELL-CHARACTERIZED	EG11822
rpsR	b4202	4425839	4426066	30S ribosomal subunit protein S18	WELL-CHARACTERIZED	EG10917
hokC	b4412	16751	16903	small toxic polypeptide HokC	WELL-CHARACTERIZED	G0-9563
yafD	b0209	231122	231922	endonuclease/exonuclease/phosphatase domain-containing protein YafD	UNCHARACTERIZED	EG11650
yhdW	b3268	3419042	3420066	putative ABC transporter periplasmic binding protein YhdW		EG12834
yhhA	b3448	3586943	3587383	DUF2756 domain-containing protein YhhA	UNCHARACTERIZED	EG11184
manY	b1818	1903082	1903882	mannose-specific PTS enzyme IIC component	WELL-CHARACTERIZED	EG10568
serA	b2913	3057178	3058410	phosphoglycerate dehydrogenase	WELL-CHARACTERIZED	EG10944
purU	b1232	1287782	1288624	formyltetrahydrofolate deformylase	WELL-CHARACTERIZED	EG11819
yghJ	b4466	3114550	3119112	putative mayloidogenic protein	PARTIAL	G7541
insA7	b4294	4518527	4518802	KpLE2 phage-like element; IS1 repressor protein InsA	PARTIAL	G7908
ycaM	b0899	947229	948659	putative transporter YcaM	PARTIAL	G6466
fetA	b0490	515919	516596	putative iron ABC exporter ATP-binding subunit FetA	PARTIAL	G6266
phnJ	b4098	4318761	4319606	carbon-phosphorus lyase core complex subunit PhnJ	WELL-CHARACTERIZED	EG10719
pykA	b1854	1937649	1939091	pyruvate kinase 2	WELL-CHARACTERIZED	EG10803
ykgL	b0295	312112	312339	uncharacterized protein YkgL	UNCHARACTERIZED	G6166
yfdN	b2357	2472387	2472881	CPS-53 (KpLE1) prophage; uncharacterized protein YfdN	UNCHARACTERIZED	G7226
melA	b4119	4341911	4343266	&alpha;-galactosidase	WELL-CHARACTERIZED	EG10577
dsrA	b1954	2025223	2025313	small regulatory RNA DsrA	PARTIAL	G7047
der	b2511	2635884	2637356	50S ribosomal subunit stability factor	WELL-CHARACTERIZED	G7319
opgD	b1424	1496856	1498511	glucans biosynthesis protein D	PARTIAL	EG12859
ydbA	b4492			putative outer membrane protein, N-terminal fragment		G6722
yebE	b1846	1929048	1929707	DUF533 domain-containing inner membrane protein YebE	UNCHARACTERIZED	EG11806
treR	b4241	4466299	4467246	DNA-binding transcriptional repressor TreR	WELL-CHARACTERIZED	EG12202
cybC	b4236	4459488	4459855			EG50008
prs	b1207	1260928	1261875	ribose-phosphate diphosphokinase	WELL-CHARACTERIZED	EG10774
matA	b0294	310746	311336	DNA-binding transcriptional dual regulator MatA	PARTIAL	G6165
yeeZ	b2016	2088304	2089128	putative epimerase YeeZ	PARTIAL	G7089
metE	b3829	4013053	4015314	cobalamin-independent homocysteine transmethylase	WELL-CHARACTERIZED	EG10584
yqgG	b4784	3086145	3086288	protein YqgG	UNCHARACTERIZED	G0-17030
tldD	b3244	3390583	3392028	metalloprotease subunit TldD	WELL-CHARACTERIZED	G7689
yjfM	b4185	4412387	4413025	DUF1190 domain-containing protein YjfM	UNCHARACTERIZED	G7850
ulaG	b4192	4418561	4419625	L-ascorbate-6-phosphate lactonase	WELL-CHARACTERIZED	G7855
cpxP	b4484	4105820	4106320	periplasmic protein CpxP	UNCHARACTERIZED	G7816
mreD	b3249	3398387	3398875	cell shape determining protein MreD	PARTIAL	EG10610
tabA	b4252	4474862	4475314	DUF386 domain-containing toxin-antitoxin biofilm protein TabA	PARTIAL	G7883
znuA	b1857	1941651	1942583	Zn<sup>2+</sup> ABC transporter periplasmic binding protein	WELL-CHARACTERIZED	G7017
cbrC	b3717	3898022	3898609	PF03691 family colicin E2 tolerance protein CbrC	PARTIAL	EG11727
wcaF	b2054	2128340	2128888	colanic acid biosynthesis acetyltransferase WcaF	WELL-CHARACTERIZED	G7099
insC6	b4272	4498272	4498637	KpLE2 phage-like element; IS2 insertion element repressor InsA	PARTIAL	G7894
ytfP	b4222	4447894	4448235	&gamma;-glutamylamine cyclotransferase family protein YtfP	UNCHARACTERIZED	G7876
yfaA	b2230	2334956	2336644	DUF2138 domain-containing protein YfaA	UNCHARACTERIZED	EG11142
narP	b2193	2290500	2291147	DNA-binding transcriptional dual regulator NarP-phosphorylated // DNA-binding transcriptional dual regulator NarP	WELL-CHARACTERIZED	EG11527
yejK	b2186	2282940	2283947	nucleoid-associated protein subunit YejK	PARTIAL	EG12048
aphA	b4055	4269414	4270127	acid phosphatase / phosphotransferase	WELL-CHARACTERIZED	EG11934
ygeQ	b2863	2998034	2998828	putative lipoprotein YgeQ	UNCHARACTERIZED	G7483
dcuR	b4124	4349315	4350034	DcuR // DNA-binding transcriptional activator DcuR	WELL-CHARACTERIZED	G7826
ydfD	b1576	1649794	1649985	Qin prophage; lysis protein	PARTIAL	EG11303
marR	b1530	1619120	1619554	DNA-binding transcriptional repressor MarR	WELL-CHARACTERIZED	EG11435
gpp	b3779	3962745	3964229	guanosine-5'-triphosphate,3'-diphosphate phosphatase	WELL-CHARACTERIZED	EG10413
yebV	b1836	1921780	1922016	DUF1480 domain-containing protein YebV	UNCHARACTERIZED	G7009
caiF	b0034	34300	34695	DNA-binding transcriptional activator CaiF	WELL-CHARACTERIZED	G6088
yfdG	b2350	2467855	2468217	CPS-53 (KpLE1) prophage; putative bactoprenol-linked glucose translocase	WELL-CHARACTERIZED	G7219
pgaD	b1021	1086106	1086519	poly-<i>N</i>-acetyl-D-glucosamine synthase subunit PgaD	WELL-CHARACTERIZED	G6528
ycaQ	b0916	969389	970621	interstrand DNA crosslink repair glycosylase	WELL-CHARACTERIZED	G6471
yihS	b3880	4070515	4071756	sulfoquinovose isomerase	WELL-CHARACTERIZED	EG11845
yeaD	b1780	1863850	1864734	putative aldose 1-epimerase YeaD	PARTIAL	G6966
sra	b1480	1555826	1555963	ribosome-associated protein Sra	PARTIAL	EG11508
nadD	b0639	669931	670572	nicotinate-nucleotide adenylyltransferase	WELL-CHARACTERIZED	G6350
grcA	b2579	2716066	2716449	stress-induced alternate pyruvate formate-lyase subunit	WELL-CHARACTERIZED	EG11784
yqeF	b2844	2984411	2985592	putative acyltransferase	WELL-CHARACTERIZED	G7464
ipeX		574367	574515	small RNA IpeX	UNCHARACTERIZED	G0-17079
tusB	b3343	3474678	3474965	sulfurtransferase complex subunit TusB	WELL-CHARACTERIZED	G7712
b1367	b1367	1426055	1426288			G6690
osmE	b1739	1821918	1822256	osmotically-inducible lipoprotein OsmE	PARTIAL	EG10044
trpR	b4393	4632760	4633086	DNA-binding transcriptional repressor TrpR	WELL-CHARACTERIZED	EG11029
yabQ	b0057	59121	59279	protein YabQ	UNCHARACTERIZED	EG12611
ygjP	b3085	3235960	3236463	putative metal-dependent hydrolase	PARTIAL	G7604
yhcE	b4569			putative uncharacterized protein YhcE		G7671
ttcC	b4638	1434958	1435008	putative tRNA 2-thiocytidine (s(2)C32) synthase		G0-16659
gsk	b0477	500125	501429	inosine/guanosine kinase	WELL-CHARACTERIZED	EG11102
malY	b1622	1700957	1702129	negative regulator of MalT activity/cystathionine &beta;-lyase	WELL-CHARACTERIZED	EG10564
casB	b2759	2882155	2882637	type I-E CRISPR system Cascade subunit CasB	WELL-CHARACTERIZED	G7429
yaaI	b0013	11382	11786	DUF2541 domain-containing protein YaaI	UNCHARACTERIZED	G8202
intD	b0537	564815	565978	DLP12 prophage; putative integrase	PARTIAL	EG10507
rutR	b1013	1074242	1074880	DNA-binding transcriptional regulator RutR	WELL-CHARACTERIZED	EG12301
tktA	b2935	3079644	3081635	transketolase 1	WELL-CHARACTERIZED	EG11427
marB	b1532	1619989	1620207	multiple antibiotic resistance protein MarB	PARTIAL	EG11599
pncC	b2700	2823849	2824346	NMN aminohydrolase	WELL-CHARACTERIZED	G7409
insA4	b4516	1049833	1050108	IS1 protein InsA	UNCHARACTERIZED	G0-10430
cysB	b1275	1333855	1334829	DNA-binding transcriptional dual regulator CysB	WELL-CHARACTERIZED	EG10184
ldcC	b0186	209679	211820	lysine decarboxylase 2	WELL-CHARACTERIZED	G6094
ypdC	b2382	2501130	2501987	putative AraC-type DNA-binding transcriptional regulator YpdC	PARTIAL	G7245
hyaA	b0972	1032139	1033257	hydrogenase 1 small subunit	WELL-CHARACTERIZED	EG10468
pepQ	b3847	4031161	4032492	Xaa-Pro dipeptidase	WELL-CHARACTERIZED	EG10698
allS	b0504	531295	532221	DNA-binding transcriptional activator AllS	WELL-CHARACTERIZED	G6274
gadB	b1493	1570645	1572045	glutamate decarboxylase B	WELL-CHARACTERIZED	EG11490
galS	b2151	2240628	2241668	DNA-binding transcriptional dual regulator GalS	WELL-CHARACTERIZED	EG10365
zraR	b4004	4203320	4204645	DNA-binding transcriptional activator ZraR-phosphorylated // DNA-binding transcriptional activator ZraR	WELL-CHARACTERIZED	EG10482
yncE	b1452	1523307	1524368	PQQ-like domain-containing protein YncE	PARTIAL	G6763
coaA	b3974	4174076	4175026	pantothenate kinase	WELL-CHARACTERIZED	EG10922
malS	b3571	3737497	3739527	alpha-amylase	WELL-CHARACTERIZED	EG11316
ydiM	b1690	1771071	1772285	putative exporter YdiM	PARTIAL	G6916
pmrD	b2259	2373272	2373538	signal transduction protein PmrD	UNCHARACTERIZED	G7172
b0100	b0100	111564	111698			G6089
appY	b0564	583681	584430	DLP12 prophage; DNA-binding transcriptional activator AppY	WELL-CHARACTERIZED	EG10050
fimD	b4317	4545096	4547732	type I fimbriae usher protein	WELL-CHARACTERIZED	EG10311
aaaD	b4634	581354	581662	DLP12 prophage; protein AaaD		G0-16718
rluF	b4022	4230354	4231226	23S rRNA pseudouridine<sup>2604</sup> and tRNA<sup>Tyr</sup> pseudouridine<sup>35</sup> synthase	WELL-CHARACTERIZED	EG11921
gndA		2100863	2101027	heat shock-induced protein GndA	PARTIAL	G0-16693
tnaA	b3708	3888730	3890145	tryptophanase	WELL-CHARACTERIZED	EG11005
yciC	b1255	1312920	1313663	putative inner membrane protein	UNCHARACTERIZED	EG11123
tsgA	b3364	3492568	3493749	putative transporter TsgA	PARTIAL	EG11262
yniD	b4535	1805165	1805272	uncharacterized protein YniD	UNCHARACTERIZED	G0-10453
yjfP	b4190	4416952	4417701	carboxylesterase	PARTIAL	G7853
aqpZ	b0875	915352	916047	water channel AqpZ	WELL-CHARACTERIZED	EG13270
proL	b2189	2286211	2286287	tRNA-Pro(GGG)	WELL-CHARACTERIZED	EG30067
emrE	b0543	568315	568647	DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE	WELL-CHARACTERIZED	EG10629
yhbY	b3180	3327790	3328083	ribosome assembly factor YhbY	WELL-CHARACTERIZED	EG12794
yjjZ	b4567	4605804	4606040	DUF1435 domain-containing protein YjjZ	UNCHARACTERIZED	G0-10474
yegU	b2099	2180095	2181099	putative ADP-ribosylglycohydrolase YegU	PARTIAL	G7131
dauA	b1206	1259124	1260803	aerobic C4-dicarboxylate transporter DauA	WELL-CHARACTERIZED	EG12392
psuK	b2166	2258355	2259296	putative pseudouridine kinase	PARTIAL	EG11646
