Rank,gene_callers_id,DSS3_ac_mean_abund,DSS3_glc_mean_abund,DSS3_late_mean_abund,DSS3_early_mean_abund,DSS3_ac_v_DSS3_glc_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_late_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_early_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_late_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_early_FOLD_CHANGE_rna,DSS3_late_v_DSS3_early_FOLD_CHANGE_rna,ANOVA p-value,BH_crit,BH_valid,DSS3_ac_v_DSS3_glc_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_late_v_DSS3_early_Tukey_HSD_adjusted_p,SPO_ID (ACCESSION),KOfam (ACCESSION),KEGG_Module,COG20_FUNCTION,n_matches,frame_id,n_reactions,reaction_ids
853,4091,8156764.22559979,11551026.2373511,9309446.67342602,18264197.1108217,-0.517580159345033,-0.202333319711257,-1.14894621655555,0.315246839633776,-0.631366057210524,-0.9466128968443,0.00844968110047399,0.00982266236757254,True,,,,,,,SPOA0193,K02197,,Cytochrome c biogenesis protein CcmE (CcmE) (PDB:1J6Q),1,SPO_RS20800,0.0,
854,1424,742003274.445938,556544697.258864,427183075.534178,1317745402.16674,0.414311620860409,0.794984189993108,-0.775212271613643,0.380672569132698,-1.18952389247405,-1.57019646160675,0.00845482048717626,0.00983417779824965,True,,,,,,,SPO1420,K07736,,"RNA polymerase-interacting regulator, CarD/CdnL/TRCF family (CdnL) (PDB:4ILU)",1,SPO_RS07245,0.0,
855,3508,569643686.746707,1569329788.54854,1366197704.78335,2994729447.80134,-1.46340236770639,-1.25934270099003,-2.33623742586615,0.204059666716354,-0.872835058159768,-1.07689472487612,0.00845622925099664,0.00984569322892676,True,,,0.0074,,,,SPO3509,K02935,,Ribosomal protein L7/L12 (RplL) (PDB:1CTF),1,SPO_RS17775,0.0,
856,2755,124139383.165472,124824292.355106,110333659.308281,329508913.797492,-0.00818302456014308,0.169456846534359,-1.34678945428728,0.177639871094502,-1.33860642972713,-1.51624630082164,0.00846004664677861,0.00985720865960387,True,,,0.0284,,,,SPO2760,K12574,,mRNA degradation ribonuclease J1/J2 (RnjA) (PDB:3T3N),1,SPO_RS14020,0.0,
857,1140,10070669.9119269,9954144.250285931,6368558.84943472,20065903.5823756,0.0178091015954073,0.661312519599157,-0.941652339917645,0.643503418003749,-0.959461441513052,-1.6029648595168,0.00846088830281124,0.00986872409028097,True,,,,,,,SPO1139,K15784,"Ectoine degradation, ectoine => aspartate",Predicted deacylase (PDB:3CDX),1,SPO_RS05780,1.0,RXN-18396
858,1780,12589708.4668192,10452708.7376649,9059386.32046455,23140047.7024005,0.296887415613007,0.471838257091562,-0.841003497284987,0.174950841478555,-1.13789091289799,-1.31284175437654,0.00847975479364209,0.00988023952095808,True,,,,,,,SPO1778,,,,1,SPO_RS09045,0.0,
859,983,36259560.4239582,97280951.5367985,45953581.2036758,125073376.410692,-1.41851303841376,-0.34293596604693,-1.7380894764395,1.07557707236683,-0.319576438025738,-1.39515351039257,0.00848246206906912,0.00989175495163519,True,,,,,,,SPO0984,K09816,,"ABC-type Mn2+/Zn2+ transport system, permease component (ZnuB)",1,SPO_RS04955,0.0,
860,1008,98084359.8017987,85154706.3054846,95435658.697318,271628380.60651,0.204266895564806,0.0453649907917004,-1.40456237606978,-0.158901904773106,-1.60882927163459,-1.44992736686148,0.00848651201410357,0.00990327038231229,True,,,,,,,SPO1009,K00684,,Leu/Phe-tRNA-protein transferase (Aat) (PDB:2CXA),1,SPO_RS05080,4.0,"RXN-17846, RXN-17848, RXN-17847, LEUCYLTRANSFERASE-RXN"
861,1305,366126786.751361,412970807.059252,320765989.79427,920420226.247504,-0.173321187650682,0.189218009125802,-1.27771523659944,0.362539196776484,-1.10439404894876,-1.46693324572525,0.00851378796489791,0.0099147858129894,True,,,0.0263,,,,SPO1306,K02030,,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)",1,SPO_RS06655,0.0,
862,1756,30495828.5544757,62486812.7680221,49526903.6523813,163006135.898431,-1.05576204201275,-0.721933247944605,-2.3618088998559,0.33382879406815,-1.30604685784314,-1.63987565191129,0.00853732901544329,0.00992630124366651,True,,,0.013,,,,SPO1754,K11752,"Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD","Riboflavin biosynthesis protein RibD, pyrimidine deaminase domain (RibD1) (PDB:2O7P)!!!Pyrimidine reductase, riboflavin biosynthesis (RibD) (PDB:2O7P)",1,SPO_RS08925,3.0,"RIBOFLAVINSYNREDUC-RXN, RIBOFLAVINSYNDEAM-RXN, RXN-10058"
863,1351,24375412.0300751,25536669.8751667,34587721.9961404,75468803.9120809,-0.0656476341558232,-0.496896442573913,-1.57636336357579,-0.431248808418089,-1.51071572941997,-1.07946692100188,0.00853843050714705,0.00993781667434362,True,,,0.0181,,,,SPO1351,K10764,,Cystathionine beta-lyase/cystathionine gamma-synthase (MetC) (PDB:1CL1),1,SPO_RS06880,1.0,RXN-9384
864,97,37964373.0579032,35029475.124250904,26977622.4987435,97357091.3418032,0.115476145819297,0.492116791403585,-1.29068170947148,0.376640645584288,-1.40615785529078,-1.78279850087507,0.00854119191999892,0.00994933210502072,True,,,0.0391,,,,SPO0097,,,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S),1,SPO_RS00490,0.0,
865,3661,4521358.93471997,6224742.7855638,4876092.44475037,25749968.2888389,-0.457195048498345,-0.109020855440711,-2.41583453577761,0.348174193057634,-1.95863948727926,-2.3068136803369,0.00854832606843258,0.00996084753569783,True,,,0.0442,,,,SPO3661,,,5-oxoprolinase subunit B/Allophanate hydrolase subunit 1 (PxpB) (PDB:2KWA) (PUBMED:28830929),1,SPO_RS18555,2.0,"ALLOPHANATE-HYDROLASE-RXN, RXN-20065"
866,2557,42730516.8524092,21033575.6081048,22509520.6313565,68448380.0742883,1.02369801355037,0.927832015001776,-0.613468551757208,-0.0958659985485965,-1.63716656530758,-1.54130056675898,0.008558164704571,0.00997236296637494,True,,,,,,,SPO2562,K22130,,"5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation) (AraD) (PDB:1FUA) (PUBMED:31950558)",1,SPO_RS12995,0.0,
867,4129,36647868.3464772,8670979.10048885,21115742.4038186,42970818.8613468,2.08267562133259,0.796543236097971,-0.150045754174168,-1.28613238523462,-2.23272137550676,-0.94658899027214,0.00856446242644478,0.00998387839705205,True,0.0392,,,,,,SPOA0231,K02002,,"ABC-type proline/glycine betaine transport system, periplasmic component (ProX) (PDB:1R9L)",1,SPO_RS20990,0.0,
868,4313,8631843.45479082,15440687.2954844,10631429.4452662,31793194.6050302,-0.841164485906482,-0.312705883280482,-1.84011800027682,0.528458602625999,-0.998953514370345,-1.52741211699634,0.00856601677712098,0.00999539382772915,True,,,,,,,SPOA0417,,,"DNA-binding transcriptional regulator, GntR family (GntR) (PDB:3FMS)",1,SPO_RS21940,0.0,
869,2614,124102494.305515,199710590.248312,105825262.976546,377633512.695559,-0.685067118223774,0.234631281910893,-1.5468878867745,0.919698400134667,-0.861820768550732,-1.78151916868539,0.00856664403849,0.0100069092584062,True,,,,,,,SPO2619,,,Metal-sulfur cluster biosynthetic enzyme (PaaD) (PDB:1UWD),1,SPO_RS13285,0.0,
870,1701,20824894.9362041,23394190.5897645,17408397.1723849,66130262.526249,-0.164568438521509,0.259272638730163,-1.58949008815427,0.423841077251672,-1.42492164963276,-1.84876272688443,0.00857928566105454,0.0100184246890833,True,,,0.0002,,,,SPO1700,K17064,,Phosphoglycerate dehydrogenase or related dehydrogenase (SerA) (PDB:3OET),1,SPO_RS08625,1.0,D-2-HYDROXY-ACID-DEHYDROGENASE-RXN
871,841,34522155.8418868,39124293.1366814,21113865.1471068,79600859.4548583,-0.176435045628963,0.710663592516695,-1.14125845552226,0.887098638145658,-0.964823409893298,-1.85192204803895,0.00858560835192656,0.0100299401197604,True,,,,,,,SPO0842,K16703,,Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7),1,SPO_RS04245,0.0,
872,3376,12577426.2928699,9362489.69170652,9993358.20558065,25003512.2014915,0.426834946442596,0.343373956120597,-0.940829405609424,-0.0834609903219991,-1.36766435205202,-1.28420336173002,0.00858988434486717,0.0100414555504375,True,,,,,,,SPO3379,K03566,,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)",1,SPO_RS17115,0.0,
873,2553,9730539.5129402,7532875.74130094,13472969.9043023,26577521.4854245,0.387751768164498,-0.488170284273632,-1.41062836464983,-0.875922052438131,-1.79838013281433,-0.922458080376198,0.00859802488086256,0.0100529709811146,True,,,,,,,SPO2556,K02083,,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (ArgE) (PDB:1CG2),1,SPO_RS12965,0.0,
874,2548,29373777.3159362,69728468.2862098,92203694.7537529,99287962.4378693,-1.2509546717711,-1.66364041176126,-1.72721283836088,-0.412685739990166,-0.476258166589786,-0.0635724265996202,0.00861373474403145,0.0100644864117918,True,,,,,,,SPO2551,K02032,,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component (DppD) (PDB:4FWI)",1,SPO_RS12940,0.0,
875,2315,52087564.8071282,20696178.9237935,73771368.0580474,101734203.61751,1.33352369259862,-0.50020659718503,-0.895398550793441,-1.83373028978365,-2.22892224339207,-0.39519195360841,0.00862042932962703,0.0100760018424689,True,,,,,,,SPO2313,,,Quinol monooxygenase YgiN (YgiN) (PDB:1R6Y) (PUBMED:15613473),1,SPO_RS11720,0.0,
876,1748,25128028.8968243,35776331.9243511,23517192.356431,62084643.0875177,-0.507067243147773,0.096487352192522,-1.25748144160886,0.603554595340295,-0.750414198461086,-1.35396879380138,0.00863774872501114,0.010087517273146,True,,,0.0205,,,,SPO1746,K22086,,"Glycine cleavage system protein T (aminomethyltransferase) (GcvT) (PDB:2GAH) (PUBMED:25433025;25505271)!!!NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase (FadH2) (PDB:1VRQ)",1,SPO_RS08885,1.0,SARCOX-RXN
877,4026,8020362.03266787,6621813.24671098,9347270.66157545,27259163.6770002,0.291981748078526,-0.219791674120543,-1.69033837040833,-0.51177342219907,-1.98232011848686,-1.47054669628779,0.008655063132447,0.0100990327038231,True,,,,,,,SPOA0126,K00059,"Fatty acid biosynthesis, elongation","NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)",1,SPO_RS20465,0.0,
878,2182,330689661.51855,326301130.045058,203338594.710864,604157022.05351,0.0114238378355935,0.693086448383031,-0.829011799668702,0.681662610547437,-0.840435637504295,-1.52209824805173,0.00865700340938454,0.0101105481345002,True,,,,,,,SPO2180,,,,1,SPO_RS11050,0.0,
879,1006,219837842.220936,485964329.372918,265290903.409889,747972968.699196,-1.15407468248002,-0.275028435589902,-1.71846639839529,0.879046246890119,-0.56439171591527,-1.44343796280539,0.0086628334963182,0.0101220635651773,True,,,0.0142,,,,SPO1007,K02067,,Periplasmic subunit MlaD of the ABC-type intermembrane phospholipid transporter Mla (MlaD) (PDB:5UW8),1,SPO_RS05070,0.0,
880,3243,89138684.9064543,136587233.250788,122801233.934951,321710063.806327,-0.616847157452589,-0.465271054921267,-1.79506272555746,0.151576102531322,-1.17821556810487,-1.3297916706362,0.0086656131292062,0.0101335789958544,True,,,0.0139,,,,SPO3247,K03790,,"Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)",1,SPO_RS16445,0.0,
881,3488,11740798.7913789,12248447.8249746,12980394.0090489,29276489.7285438,-0.0648290763214873,-0.148031403650488,-1.27722537989318,-0.0832023273290012,-1.21239630357169,-1.12919397624269,0.00867517882666906,0.0101450944265315,True,,,,,,,SPO3490,,,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)",1,SPO_RS17675,0.0,
882,1654,5981747.38813325,3991363.46327546,5511809.1801455,13765682.2551754,0.608695843645101,0.112643790949537,-1.15357735448897,-0.496052052695564,-1.76227319813407,-1.26622114543851,0.0086920089864406,0.0101566098572086,True,,,,,,,SPO1651,,,Dehydrogenase (flavoprotein) (FixC) (PDB:4OPU),1,SPO_RS08390,0.0,
883,2761,249978387.575496,501674402.145264,596235226.749051,985349898.875144,-1.06899851042603,-1.31974389594901,-2.01655386813584,-0.250745385522979,-0.947555357709802,-0.696809972186823,0.00869308701235997,0.0101681252878857,True,,,,,,,SPO2766,K00340,"NADH:quinone oxidoreductase, prokaryotes",NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K) (NuoK) (PDB:4HE8),1,SPO_RS14050,8.0,"NADH-DEHYDROG-A-RXN, 1.6.99.5-RXN, RXN-20991, RXN0-5330, RXN0-5330-YEAST, RXN0-7123, RXN-21546, NADH-DEHYDROGENASE-QUINONE-RXN"
884,2167,38819022.8284125,95858101.7252874,58715881.4919105,103866649.440301,-1.30340036872709,-0.595855285169289,-1.37806600408222,0.707545083557803,-0.0746656353551316,-0.782210718912935,0.00869361651665175,0.0101796407185628,True,0.0032,0.0391,0.0242,0.0079,,,SPO2165,K02426,,"Sulfur transfer protein SufE, Fe-S cluster assembly (SufE) (PDB:1MZG)",1,SPO_RS10975,0.0,
885,2827,1693316.36774491,2321787.8831539,2535442.01085842,4671386.46113375,-0.461342712537113,-0.592452975541522,-1.43661792885595,-0.131110263004408,-0.975275216318845,-0.844164953314436,0.00869473416840107,0.0101911561492399,True,,,,,,,SPO2831,K02032,,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component (DppD) (PDB:4FWI)",1,SPO_RS14380,0.0,
886,188,31133706.4911193,30997841.5203277,24718052.0554341,79756107.3151698,0.00116592315526276,0.33140263488168,-1.30376058214833,0.330236711726417,-1.3049265053036,-1.63516321703001,0.0087012551042045,0.010202671579917,True,,,,,,,SPO0190,K00108,"Betaine biosynthesis, choline => betaine",Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V),1,SPO_RS00970,0.0,
887,856,14859615.7613284,277236249.423112,215533056.719093,454741523.490486,-4.22127775682931,-3.85611630725251,-4.85234217274827,0.365161449576799,-0.631064415918956,-0.996225865495755,0.00870507489742993,0.0102141870105941,True,,,,,,,SPO0857,K01785,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",Galactose mutarotase or related enzyme (GalM) (PDB:1LUR),1,SPO_RS04320,2.0,"ALDOSE1EPIM-RXN, ALDOSE-1-EPIMERASE-RXN"
888,3066,108106605.388272,169000871.76103,137928572.68396,393407138.60534,-0.643611363106654,-0.353593209302562,-1.80309824730149,0.290018153804091,-1.15948688419484,-1.44950503799893,0.00872326229868068,0.0102257024412713,True,,,0.015,,,,SPO3070,K07263,,"Predicted Zn-dependent peptidase, M16 family (PqqL) (PDB:6OFS)",1,SPO_RS15555,0.0,
889,3219,152511600.925656,65996386.8857389,159458759.51669,267485673.232444,1.22884982061632,-0.0570686295941804,-0.753445127131183,-1.2859184502105,-1.9822949477475,-0.696376497537002,0.00873394594977979,0.0102372178719484,True,,,,,,,SPO3223,,,"DNA-binding response regulator, ActR/RegA family, consists of REC and Fis-type HTH domains (PDB:3RQI)",1,SPO_RS16325,0.0,
890,3533,70842455.9127248,119736734.533618,80336045.8317115,260946794.76552,-0.766699689465863,-0.187767951890396,-1.82422915533959,0.578931737575466,-1.05752946587372,-1.63646120344919,0.00874115323111084,0.0102487333026255,True,,,0.0163,,,,SPO3534,K13896,,"ABC-type microcin C transport system, duplicated ATPase component YejF (YejF) (PUBMED:17873039)",1,SPO_RS17905,0.0,
891,861,7299880.32871083,412544267.790438,318297108.361729,455476629.257457,-5.82684450943704,-5.45248062036263,-5.8771312167301,0.374363889074416,-0.0502867072930541,-0.42465059636747,0.00874121467818109,0.0102602487333026,True,,,,0.0001,,,SPO0862,K10544,,"ABC-type xylose transport system, permease component (XylH)",1,SPO_RS04345,0.0,
892,3029,76135385.0901492,431876637.886104,366609136.599167,449801039.297041,-2.50753610582601,-2.2721875806191,-2.49618161095146,0.235348525206916,0.0113544948745527,-0.223994030332363,0.00875134940033926,0.0102717641639797,True,0.0117,0.0317,0.009,,,,SPO3032,K01690,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",Dihydroxyacid dehydratase/phosphogluconate dehydratase (IlvD) (PDB:2GP4),1,SPO_RS15370,1.0,PGLUCONDEHYDRAT-RXN
893,621,4801474.82837528,6029504.99428665,7769321.66129652,15157748.742829,-0.329585680502351,-0.695062456972323,-1.60179498389904,-0.365476776469972,-1.27220930339669,-0.90673252692672,0.00875396116746227,0.0102832795946568,True,,,,,,,SPO0619,K00227,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol","Sterol desaturase/sphingolipid hydroxylase, fatty acid hydroxylase superfamily (ERG3) (PDB:4ZR0)",1,SPO_RS23055,0.0,
894,4293,2514930.84117578,1430249.33868846,1303399.67416285,2276419.55647096,0.810264183032781,0.939225156276155,0.126556741762325,0.128960973243373,-0.683707441270456,-0.812668414513829,0.00876867472719964,0.0102947950253339,True,,,,,,,SPOA0396,,,,1,SPO_RS21840,0.0,
895,4201,3627477.52507463,4155910.2158422,3307005.37829785,12180212.2604691,-0.195021734788543,0.134226932398537,-1.67263425487196,0.32924866718708,-1.47761252008342,-1.8068611872705,0.00877586529408412,0.010306310456011,True,,,,,,,SPOA0302,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),1,SPO_RS21350,0.0,
896,3159,314826328.180451,533468659.500264,487491802.128906,1146768515.88371,-0.771061201189041,-0.643707239837834,-1.82164757799855,0.127353961351207,-1.05058637680951,-1.17794033816072,0.00878287325201403,0.0103178258866881,True,,,0.0114,,,,SPO3163,K02115,"F-type ATPase, prokaryotes and chloroplasts","FoF1-type ATP synthase, gamma subunit (AtpG) (PDB:3OAA) (PUBMED:15326535)",1,SPO_RS16025,1.0,ATPSYN-RXN
897,3103,301187177.709611,899910197.677516,537767271.454666,1204093535.58838,-1.58394061250042,-0.831837844626537,-1.9506205687198,0.752102767873889,-0.366679956219382,-1.11878272409327,0.00882228240511303,0.0103293413173652,True,,,0.0101,,,,SPO3107,,,"Cell division protein CpoB, coordinates peptidoglycan biosynthesis and outer membrane constriction (CpoB) (PDB:2WZ7) (PUBMED:25951518)",1,SPO_RS15745,0.0,
898,3086,21534646.5198785,64021181.6653978,37559731.8966657,96144317.0159495,-1.57204776186537,-0.800980223305433,-2.09653978375446,0.771067538559943,-0.524492021889091,-1.29555956044903,0.00882244230094068,0.0103408567480423,True,,,,,,,SPO3090,K02283,,"Pilus assembly protein, ATPase of CpaF family (CpaF)",1,SPO_RS15660,0.0,
899,3188,58320687.4597617,34630355.5784223,44187179.240242,124971551.354594,0.737215957760888,0.3848810890244,-1.04708935140822,-0.352334868736488,-1.78430530916911,-1.43197044043262,0.00883135776015839,0.0103523721787194,True,,,,,,,SPO3192,K17737,,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)",1,SPO_RS16170,0.0,
900,793,15537076.3115552,26256312.8286943,18425501.7035472,68551719.2168429,-0.826671105370717,-0.31940324542306,-2.14489604517106,0.507267859947656,-1.31822493980034,-1.825492799748,0.00883962747699058,0.0103638876093965,True,,,0.0321,,,,SPO0794,K17686,,Cation-transporting P-type ATPase (ZntA) (PDB:4BBJ)!!!Copper chaperone CopZ (CopZ) (PDB:1AFI),1,SPO_RS04005,1.0,RXN0-5205
901,2207,3395469.26315789,8623522.02169445,3152974.12249261,11302447.5329125,-1.3449455976513,0.108119956903692,-1.65403680142875,1.45306555455499,-0.309091203777452,-1.76215675833244,0.00884746076610389,0.0103754030400737,True,,,,,,,SPO2204,,,"Predicted peroxiredoxin, DsrE/DsrF-like family (PDB:3MC3)",1,SPO_RS11175,0.0,
902,1796,8562960.52260201,26548803.6610806,22926665.8675001,22642764.6175478,-1.63190855317551,-1.4206233108901,-1.34280650204488,0.211285242285409,0.289102051130623,0.0778168088452133,0.00884806087977763,0.0103869184707508,True,,,,,,,SPO1794,K00127,,Cytochrome b subunit of formate dehydrogenase (FdnI) (PDB:1KQF),1,SPO_RS09125,1.0,1.2.1.2-RXN
903,2594,4929560715.25854,8100811409.92254,12790718057.0129,22450304989.8606,-0.790319725683403,-1.45487561364349,-2.20641437352814,-0.664555887960091,-1.41609464784474,-0.751538759884653,0.00885497326493747,0.0103984339014279,True,,,,,,,SPO_tRNA-Asp-1,,,,1,SPO_RS13185,0.0,
904,2472,12112141.8613378,11538188.8094862,13804044.7529322,37550411.6069781,0.0628230505998495,-0.198313340575232,-1.57206176680259,-0.261136391175082,-1.63488481740244,-1.37374842622736,0.00887086953324451,0.010409949332105,True,,,,,,,SPO2475,K15270,,Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20),1,SPO_RS12570,0.0,
905,263,39760921.0339877,35107037.0460166,41435851.3972493,103042247.937871,0.179303262929785,-0.0612886667567735,-1.31781153232643,-0.240591929686559,-1.49711479525622,-1.25652286556966,0.00888223253898233,0.0104214647627821,True,,,,,,,SPO0265,K13936,,"Predicted permease, AEC (auxin efflux carrier) family (YfdV)",1,SPO_RS01350,0.0,
906,2300,39595711.0381108,63297188.0794738,61714341.9245543,134787413.458685,-0.691009373248434,-0.655408178487476,-1.7331466882587,0.0356011947609573,-1.04213731501026,-1.07773850977122,0.00889732795965017,0.0104329801934592,True,,,0.0111,,,,SPO2298,,,,1,SPO_RS11650,0.0,
907,726,204504061.622199,166564476.109783,195713559.317411,613087894.452225,0.295886358757197,0.0633644528046311,-1.50451675091891,-0.232521905952566,-1.80040310967611,-1.56788120372354,0.00889888374773846,0.0104444956241363,True,,,0.0324,,,,SPO0727,,,,1,SPO_RS03670,0.0,
908,26,51907004.4467755,56728188.1628569,46752109.0232803,125250248.246236,-0.130732797937081,0.146897159674384,-1.22296533331376,0.277629957611466,-1.09223253537668,-1.36986249298815,0.00891081679979866,0.0104560110548134,True,,,0.0274,,,,SPO0026,K00974,,tRNA nucleotidyltransferase/poly(A) polymerase (PcnB) (PDB:3WFR),1,SPO_RS00130,1.0,TRNA-CYTIDYLYLTRANSFERASE-RXN
909,1712,1880444.78109893,5272337.81683535,3120000.95318326,4732799.34721221,-1.47028446750476,-0.730407374895271,-1.31695069465526,0.739877092609493,0.153333772849499,-0.586543319759993,0.00892055323464714,0.0104675264854905,True,,,,,,,SPO1711,K03190,,Urease accessory protein UreH (UreH) (PDB:3SF5),1,SPO_RS08705,0.0,
910,2920,81975161.1909492,233185532.269262,264944937.741135,450395926.214525,-1.53338679528479,-1.71748481391697,-2.42672110592924,-0.18409801863218,-0.893334310644451,-0.709236292012271,0.00893690144035601,0.0104790419161676,True,,,0.0066,,,,SPO2924,,,,1,SPO_RS14830,0.0,
911,3600,34711096.7887833,40668570.7068699,52997536.2705175,119159343.042913,-0.226084209295233,-0.610000382103269,-1.71448930032113,-0.38391617280803503,-1.48840509102589,-1.10448891821786,0.00894335721153226,0.0104905573468447,True,,,0.0308,,,,SPO3601,K01458,"Histidine degradation, histidine => N-formiminoglutamate => glutamate",Predicted N-formylglutamate amidohydrolase (HutG2) (PDB:2ODF),1,SPO_RS18245,1.0,N-FORMYLGLUTAMATE-DEFORMYLASE-RXN
912,1808,48870748.1578947,40463017.6542572,49662385.472175,137755434.532632,0.273666910638013,-0.0262627370137735,-1.43246333764724,-0.299929647651787,-1.70613024828526,-1.40620060063347,0.00895323982544476,0.0105020727775218,True,,,0.0404,,,,SPO1806,,,"FMN reductase RutF, DIM6/NTAB family (RutF) (PDB:1EJE)",1,SPO_RS09190,0.0,
913,2121,2100135.45833982,3448010.46698915,6515625.37509142,6697180.71715662,-0.713137211378754,-1.63354857110193,-1.61974005831363,-0.920411359723178,-0.906602846934877,0.0138085127883016,0.00895419979316177,0.0105135882081989,True,,,,,,,SPO2119,K01476,Urea cycle,Arginase/agmatinase family enzyme (SpeB) (PDB:1CEV),1,SPO_RS10745,2.0,"RXN-34, ARGINASE-RXN"
914,2041,117330804.249054,107247059.370641,142734349.95699,351996195.879276,0.120514288662864,-0.284850140294683,-1.52855028435419,-0.405364428957547,-1.64906457301705,-1.2437001440595,0.00896122337706449,0.010525103638876,True,,,0.0245,,,,SPO2039,K00088,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP","IMP dehydrogenase/GMP reductase (GuaB) (PDB:1B3O)!!!Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains",1,SPO_RS10345,1.0,IMP-DEHYDROG-RXN
915,132,77450651.819478,45939531.201645,38214122.3945678,126635296.480555,0.749013197081758,1.01761598327882,-0.647115490759908,0.268602786197067,-1.39612868784166,-1.66473147403873,0.00896174736720695,0.0105366190695532,True,,0.049,0.025,,,,SPO0134,K09957,,Uncharacterized conserved protein (PDB:2H1T),1,SPO_RS00685,0.0,
916,1278,49001705.210717,60805612.2444655,41406469.3727461,145716505.63341,-0.321276565819218,0.236075944245822,-1.51190493532788,0.55735251006504,-1.19062836950866,-1.7479808795737,0.00896359832354501,0.0105481345002303,True,,,,,,,SPO1277,,,,1,SPO_RS06505,0.0,
917,2418,12318418.3974916,11760813.0511358,29154901.2855506,25061013.4094193,0.065192179736087,-1.24090834570048,-0.959165162345552,-1.30610052543657,-1.02435734208163,0.281743183354933,0.00896971570640923,0.0105596499309074,True,,,,0.0416,,,SPO2421,K22025,,Nucleoside-diphosphate-sugar epimerase (WcaG) (PDB:2X4G),1,SPO_RS12300,0.0,
918,1979,65998492.1509935,22083682.7850229,42079456.5880293,101614304.794351,1.59375577654134,0.636741160181387,-0.57304679375661,-0.957014616359956,-2.16680257029795,-1.20978795393799,0.00897393878569297,0.0105711653615845,True,0.0406,,,,,,SPO1977,,,,1,SPO_RS10035,0.0,
919,1539,11339700.9446693,15440011.2303728,14091212.831867,38565529.3633939,-0.441863339387133,-0.314830487380714,-1.70211688387694,0.127032852006419,-1.26025354448981,-1.38728639649623,0.00897469892721176,0.0105826807922616,True,,,,,,,SPO1536,K16703,,Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7),1,SPO_RS07820,0.0,
920,2285,289761571.515999,223673338.402281,183599809.783116,608108687.436999,0.375827405580231,0.656696135728672,-1.00994858319471,0.280868730148441,-1.38577598877494,-1.66664471892338,0.00898656040264363,0.0105941962229387,True,,,,,,,SPO2283,K02939,,Ribosomal protein L9 (RplI) (PDB:1VS6) (PUBMED:27112601),1,SPO_RS11575,0.0,
921,3587,39902166.8961648,21216798.347593,26487473.6721461,65819914.1718174,0.896412018191043,0.572145218696338,-0.688472505379021,-0.324266799494704,-1.58488452357006,-1.26061772407535,0.00899201617711579,0.0106057116536158,True,,,,,,,SPO3588,,,Heme-degrading monooxygenase HmoA and related ABM domain proteins (HmoA) (PDB:1IUJ) (PUBMED:21873409),1,SPO_RS18175,0.0,
922,1243,51795049.1697672,59947938.9066953,56649724.1767836,174475133.368789,-0.227091199776694,-0.143582969784549,-1.699626381431,0.0835082299921445,-1.4725351816543,-1.55604341164645,0.00899443597040801,0.0106172270842929,True,,,,,,,SPO1242,K02232,"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin",Cobyric acid synthase (CobQ),1,SPO_RS06325,1.0,R345-RXN
